,modelBox,Compartment,MPform,sizeBin,thalf_deg_d,tfrag_gen_d,tbiof_growth_d,tbiof_degrade_d,alpha_heter
0,Utopia,Ocean_Surface_Water,freeMP,mp5,5000,73,10,NAN,0.01
1,Utopia,Ocean_Surface_Water,freeMP,mp4,5000,73,10,NAN,0.01
2,Utopia,Ocean_Surface_Water,freeMP,mp3,5000,73,10,NAN,0.01
3,Utopia,Ocean_Surface_Water,freeMP,mp2,5000,73,10,NAN,0.01
4,Utopia,Ocean_Surface_Water,freeMP,mp1,5000,73,10,NAN,0.01
5,Utopia,Ocean_Surface_Water,heterMP,mp5,50000,73,10,NAN,NAN
6,Utopia,Ocean_Surface_Water,heterMP,mp4,50000,73,10,NAN,NAN
7,Utopia,Ocean_Surface_Water,heterMP,mp3,50000,73,10,NAN,NAN
8,Utopia,Ocean_Surface_Water,heterMP,mp2,50000,73,10,NAN,NAN
9,Utopia,Ocean_Surface_Water,heterMP,mp1,50000,73,10,NAN,NAN
10,Utopia,Ocean_Surface_Water,biofMP,mp5,25000,73,NAN,NAN,0.02
11,Utopia,Ocean_Surface_Water,biofMP,mp4,25000,73,NAN,NAN,0.02
12,Utopia,Ocean_Surface_Water,biofMP,mp3,25000,73,NAN,NAN,0.02
13,Utopia,Ocean_Surface_Water,biofMP,mp2,25000,73,NAN,NAN,0.02
14,Utopia,Ocean_Surface_Water,biofMP,mp1,25000,73,NAN,NAN,0.02
15,Utopia,Ocean_Surface_Water,heterBiofMP,mp5,100000,73,NAN,NAN,NAN
16,Utopia,Ocean_Surface_Water,heterBiofMP,mp4,100000,73,NAN,NAN,NAN
17,Utopia,Ocean_Surface_Water,heterBiofMP,mp3,100000,73,NAN,NAN,NAN
18,Utopia,Ocean_Surface_Water,heterBiofMP,mp2,100000,73,NAN,NAN,NAN
19,Utopia,Ocean_Surface_Water,heterBiofMP,mp1,100000,73,NAN,NAN,NAN
20,Utopia,Ocean_Mixed_Water,freeMP,mp5,5000,365,30,NAN,0.01
21,Utopia,Ocean_Mixed_Water,freeMP,mp4,5000,NAN,30,NAN,0.01
22,Utopia,Ocean_Mixed_Water,freeMP,mp3,5000,NAN,30,NAN,0.01
23,Utopia,Ocean_Mixed_Water,freeMP,mp2,5000,NAN,30,NAN,0.01
24,Utopia,Ocean_Mixed_Water,freeMP,mp1,5000,NAN,30,NAN,0.01
25,Utopia,Ocean_Mixed_Water,heterMP,mp5,50000,NAN,30,NAN,NAN
26,Utopia,Ocean_Mixed_Water,heterMP,mp4,50000,NAN,30,NAN,NAN
27,Utopia,Ocean_Mixed_Water,heterMP,mp3,50000,NAN,30,NAN,NAN
28,Utopia,Ocean_Mixed_Water,heterMP,mp2,50000,NAN,30,NAN,NAN
29,Utopia,Ocean_Mixed_Water,heterMP,mp1,50000,NAN,30,NAN,NAN
30,Utopia,Ocean_Mixed_Water,biofMP,mp5,25000,730,NAN,NAN,0.02
31,Utopia,Ocean_Mixed_Water,biofMP,mp4,25000,NAN,NAN,NAN,0.02
32,Utopia,Ocean_Mixed_Water,biofMP,mp3,25000,NAN,NAN,NAN,0.02
33,Utopia,Ocean_Mixed_Water,biofMP,mp2,25000,NAN,NAN,NAN,0.02
34,Utopia,Ocean_Mixed_Water,biofMP,mp1,25000,NAN,NAN,NAN,0.02
35,Utopia,Ocean_Mixed_Water,heterBiofMP,mp5,100000,NAN,NAN,NAN,NAN
36,Utopia,Ocean_Mixed_Water,heterBiofMP,mp4,100000,NAN,NAN,NAN,NAN
37,Utopia,Ocean_Mixed_Water,heterBiofMP,mp3,100000,NAN,NAN,NAN,NAN
38,Utopia,Ocean_Mixed_Water,heterBiofMP,mp2,100000,NAN,NAN,NAN,NAN
39,Utopia,Ocean_Mixed_Water,heterBiofMP,mp1,100000,NAN,NAN,NAN,NAN
40,Utopia,Ocean_Column_Water,freeMP,mp5,5000,365,300,NAN,0.01
41,Utopia,Ocean_Column_Water,freeMP,mp4,5000,NAN,300,NAN,0.01
42,Utopia,Ocean_Column_Water,freeMP,mp3,5000,NAN,300,NAN,0.01
43,Utopia,Ocean_Column_Water,freeMP,mp2,5000,NAN,300,NAN,0.01
44,Utopia,Ocean_Column_Water,freeMP,mp1,5000,NAN,300,NAN,0.01
45,Utopia,Ocean_Column_Water,heterMP,mp5,50000,NAN,300,NAN,NAN
46,Utopia,Ocean_Column_Water,heterMP,mp4,50000,NAN,300,NAN,NAN
47,Utopia,Ocean_Column_Water,heterMP,mp3,50000,NAN,300,NAN,NAN
48,Utopia,Ocean_Column_Water,heterMP,mp2,50000,NAN,300,NAN,NAN
49,Utopia,Ocean_Column_Water,heterMP,mp1,50000,NAN,300,NAN,NAN
50,Utopia,Ocean_Column_Water,biofMP,mp5,25000,730,NAN,NAN,0.02
51,Utopia,Ocean_Column_Water,biofMP,mp4,25000,NAN,NAN,NAN,0.02
52,Utopia,Ocean_Column_Water,biofMP,mp3,25000,NAN,NAN,NAN,0.02
53,Utopia,Ocean_Column_Water,biofMP,mp2,25000,NAN,NAN,NAN,0.02
54,Utopia,Ocean_Column_Water,biofMP,mp1,25000,NAN,NAN,NAN,0.02
55,Utopia,Ocean_Column_Water,heterBiofMP,mp5,100000,NAN,NAN,NAN,NAN
56,Utopia,Ocean_Column_Water,heterBiofMP,mp4,100000,NAN,NAN,NAN,NAN
57,Utopia,Ocean_Column_Water,heterBiofMP,mp3,100000,NAN,NAN,NAN,NAN
58,Utopia,Ocean_Column_Water,heterBiofMP,mp2,100000,NAN,NAN,NAN,NAN
59,Utopia,Ocean_Column_Water,heterBiofMP,mp1,100000,NAN,NAN,NAN,NAN
60,Utopia,Coast_Surface_Water,freeMP,mp5,5000,73,10,NAN,0.01
61,Utopia,Coast_Surface_Water,freeMP,mp4,5000,73,10,NAN,0.01
62,Utopia,Coast_Surface_Water,freeMP,mp3,5000,73,10,NAN,0.01
63,Utopia,Coast_Surface_Water,freeMP,mp2,5000,73,10,NAN,0.01
64,Utopia,Coast_Surface_Water,freeMP,mp1,5000,73,10,NAN,0.01
65,Utopia,Coast_Surface_Water,heterMP,mp5,50000,73,10,NAN,NAN
66,Utopia,Coast_Surface_Water,heterMP,mp4,50000,73,10,NAN,NAN
67,Utopia,Coast_Surface_Water,heterMP,mp3,50000,73,10,NAN,NAN
68,Utopia,Coast_Surface_Water,heterMP,mp2,50000,73,10,NAN,NAN
69,Utopia,Coast_Surface_Water,heterMP,mp1,50000,73,10,NAN,NAN
70,Utopia,Coast_Surface_Water,biofMP,mp5,25000,73,NAN,NAN,0.02
71,Utopia,Coast_Surface_Water,biofMP,mp4,25000,73,NAN,NAN,0.02
72,Utopia,Coast_Surface_Water,biofMP,mp3,25000,73,NAN,NAN,0.02
73,Utopia,Coast_Surface_Water,biofMP,mp2,25000,73,NAN,NAN,0.02
74,Utopia,Coast_Surface_Water,biofMP,mp1,25000,73,NAN,NAN,0.02
75,Utopia,Coast_Surface_Water,heterBiofMP,mp5,100000,73,NAN,NAN,NAN
76,Utopia,Coast_Surface_Water,heterBiofMP,mp4,100000,73,NAN,NAN,NAN
77,Utopia,Coast_Surface_Water,heterBiofMP,mp3,100000,73,NAN,NAN,NAN
78,Utopia,Coast_Surface_Water,heterBiofMP,mp2,100000,73,NAN,NAN,NAN
79,Utopia,Coast_Surface_Water,heterBiofMP,mp1,100000,73,NAN,NAN,NAN
80,Utopia,Coast_Column_Water,freeMP,mp5,5000,365,30,NAN,0.01
81,Utopia,Coast_Column_Water,freeMP,mp4,5000,NAN,30,NAN,0.01
82,Utopia,Coast_Column_Water,freeMP,mp3,5000,NAN,30,NAN,0.01
83,Utopia,Coast_Column_Water,freeMP,mp2,5000,NAN,30,NAN,0.01
84,Utopia,Coast_Column_Water,freeMP,mp1,5000,NAN,30,NAN,0.01
85,Utopia,Coast_Column_Water,heterMP,mp5,50000,NAN,30,NAN,NAN
86,Utopia,Coast_Column_Water,heterMP,mp4,50000,NAN,30,NAN,NAN
87,Utopia,Coast_Column_Water,heterMP,mp3,50000,NAN,30,NAN,NAN
88,Utopia,Coast_Column_Water,heterMP,mp2,50000,NAN,30,NAN,NAN
89,Utopia,Coast_Column_Water,heterMP,mp1,50000,NAN,30,NAN,NAN
90,Utopia,Coast_Column_Water,biofMP,mp5,25000,730,NAN,NAN,0.02
91,Utopia,Coast_Column_Water,biofMP,mp4,25000,NAN,NAN,NAN,0.02
92,Utopia,Coast_Column_Water,biofMP,mp3,25000,NAN,NAN,NAN,0.02
93,Utopia,Coast_Column_Water,biofMP,mp2,25000,NAN,NAN,NAN,0.02
94,Utopia,Coast_Column_Water,biofMP,mp1,25000,NAN,NAN,NAN,0.02
