species,Compartment,MP_Form,Size_Fraction_um,mass_g,number_of_particles,concentration_g_m3,concentration_num_m3
eA0_Utopia,Ocean_Surface_Water,freeMP,5000.0,46537.25689229897,725547.8666788659,1.2246646550604991e-11,1.9093364912601733e-10
dA0_Utopia,Ocean_Surface_Water,freeMP,500.0,29794.892004525573,464522874.26051605,7.840761053822518e-12,1.2224286164750422e-07
cA0_Utopia,Ocean_Surface_Water,freeMP,50.0,2025.4461349262972,31578099363.908005,5.330121407700782e-13,8.310026148396843e-06
bA0_Utopia,Ocean_Surface_Water,freeMP,5.0,13.810471828391726,215314761592.15433,3.634334691682034e-15,5.66617793663564e-05
aA0_Utopia,Ocean_Surface_Water,freeMP,0.5,0.00947722705458111,147756492983.59128,2.494007119626608e-18,3.888328762726086e-05
eB0_Utopia,Ocean_Surface_Water,heterMP,5000.0,465372.56892460847,7255478.666813896,1.224664655064759e-10,1.909336491266815e-09
dB0_Utopia,Ocean_Surface_Water,heterMP,500.0,297948.9358600371,4645228989.168488,7.840761470000976e-11,1.2224286813601282e-06
cB0_Utopia,Ocean_Surface_Water,heterMP,50.0,20255.239743477916,315793129340.6619,5.330326248283662e-12,8.310345508964787e-05
bB0_Utopia,Ocean_Surface_Water,heterMP,5.0,138.62933970443027,2161326824965.7751,3.6481405185376386e-14,0.0005687702170962566
aB0_Utopia,Ocean_Surface_Water,heterMP,0.5,0.09403820191136682,1466120294563.3716,2.4746895239833372e-17,0.0003858211301482557
eC0_Utopia,Ocean_Surface_Water,biofMP,5000.0,67721.07734939021,1046903.8572865291,1.782133614457637e-11,2.7550101507540243e-10
dC0_Utopia,Ocean_Surface_Water,biofMP,500.0,1097.9399352022674,15752083.11841555,2.8893156189533355e-13,4.145285031161986e-09
cC0_Utopia,Ocean_Surface_Water,biofMP,50.0,78.65834511809761,603784336.8849952,2.069956450476253e-14,1.588906149697356e-07
bC0_Utopia,Ocean_Surface_Water,biofMP,5.0,3.5637000684364004,1468903804.6968694,9.378158074832632e-16,3.8655363281496563e-07
aC0_Utopia,Ocean_Surface_Water,biofMP,0.5,0.008064625060552931,9586100.555529494,2.1222697527770874e-18,2.5226580409288142e-09
eD0_Utopia,Ocean_Surface_Water,heterBiofMP,5000.0,677210.7735368081,10558182.08556432,1.7821336145705476e-10,2.7784689698853478e-09
dD0_Utopia,Ocean_Surface_Water,heterBiofMP,500.0,10979.397696499102,171176367.23947117,2.889315183289237e-12,4.504641243143978e-08
cD0_Utopia,Ocean_Surface_Water,heterBiofMP,50.0,786.5804510381457,12263330637.274134,2.0699485553635413e-13,3.2271922729668772e-06
bD0_Utopia,Ocean_Surface_Water,heterBiofMP,5.0,35.63364081113891,555552986983.2344,9.377273897668134e-15,0.0001461981544692722
aD0_Utopia,Ocean_Surface_Water,heterBiofMP,0.5,0.08062120195382821,1256940030265.6392,2.1216105777323215e-17,0.0003307736921751682
eA1_Utopia,Ocean_Mixed_Water,freeMP,5000.0,-0.0,-0.0,-0.0,-0.0
dA1_Utopia,Ocean_Mixed_Water,freeMP,500.0,-0.0,-0.0,-0.0,-0.0
cA1_Utopia,Ocean_Mixed_Water,freeMP,50.0,-0.0,-0.0,-0.0,-0.0
bA1_Utopia,Ocean_Mixed_Water,freeMP,5.0,-0.0,-0.0,-0.0,-0.0
aA1_Utopia,Ocean_Mixed_Water,freeMP,0.5,0.0001692918993806495,2639377235.446153,1.6929189938064952e-20,2.639377235446153e-07
eB1_Utopia,Ocean_Mixed_Water,heterMP,5000.0,-0.0,-0.0,-0.0,-0.0
dB1_Utopia,Ocean_Mixed_Water,heterMP,500.0,-0.0,-0.0,-0.0,-0.0
cB1_Utopia,Ocean_Mixed_Water,heterMP,50.0,-0.0,-0.0,-0.0,-0.0
bB1_Utopia,Ocean_Mixed_Water,heterMP,5.0,-0.0,-0.0,-0.0,-0.0
aB1_Utopia,Ocean_Mixed_Water,heterMP,0.5,0.002464609493317437,38424958398.63004,2.4646094933174367e-19,3.8424958398630045e-06
eC1_Utopia,Ocean_Mixed_Water,biofMP,5000.0,-0.0,-0.0,-0.0,-0.0
dC1_Utopia,Ocean_Mixed_Water,biofMP,500.0,10976.285700029932,157476159.7923799,1.0976285700029933e-12,1.5747615979237988e-08
cC1_Utopia,Ocean_Mixed_Water,biofMP,50.0,786.0052634111031,6033405178.360391,7.860052634111032e-14,6.033405178360391e-07
bC1_Utopia,Ocean_Mixed_Water,biofMP,5.0,35.46612606746012,14618606088.589441,3.5466126067460117e-15,1.4618606088589441e-06
aC1_Utopia,Ocean_Mixed_Water,biofMP,0.5,0.08026911021966898,95412713.70846227,8.026911021966899e-18,9.541271370846227e-09
eD1_Utopia,Ocean_Mixed_Water,heterBiofMP,5000.0,-0.0,-0.0,-0.0,-0.0
dD1_Utopia,Ocean_Mixed_Water,heterBiofMP,500.0,109762.84044975812,1711278232.6908774,1.0976284044975812e-11,1.7112782326908774e-07
cD1_Utopia,Ocean_Mixed_Water,heterBiofMP,50.0,7860.022596511017,122543162355.79321,7.860022596511017e-13,1.2254316235579322e-05
