,Particle,Radius_m,Volume_m3,Density_kg_m3,Corey Shape Factor
0,mp1,0.0025,6.544984694978737e-08,980.0,1
1,mp2,0.00025,6.544984694978736e-11,980.0,1
2,mp3,2.5e-05,6.544984694978736e-14,980.0,1
3,mp4,2.5e-06,6.544984694978737e-17,980.0,1
4,mp5,2.5e-07,6.544984694978735e-20,980.0,1
5,mp1_BF,0.002505,6.584333195324824e-08,982.4382405423534,1
6,mp2_BF,0.000255,6.945590118188995e-11,1003.532487504806,1
7,mp3_BF,3e-05,1.1309733552923256e-13,1151.8888888888887,1
8,mp4_BF,7.500000000000001e-06,1.7671458676442593e-15,1372.888888888889,1
9,mp5_BF,5.2500000000000006e-06,6.061310326019808e-16,1387.955944282475,1
10,mp1_SPM,0.0025000000000008345,6.544984694985281e-08,980.00000000102,1
11,mp2_SPM,0.00025000000008333346,6.544984701523721e-11,980.0000010199999,1
12,mp3_SPM,2.500000833333057e-05,6.544991239963431e-14,980.0010199989799,1
13,mp4_SPM,2.500833055709776e-06,6.551529679673716e-17,981.018981018981,1
14,mp5_SPM,3.1498026247371856e-07,1.308996938995747e-19,1490.0,1
15,mp1_BF_SPM,0.0025050000000008308,6.584333195331369e-08,982.4382405433648,1
16,mp2_BF_SPM,0.0002550000000800975,6.94559012473398e-11,1003.5324884437995,1
17,mp3_BF_SPM,3.0000005787035938e-05,1.1309740097907951e-13,1151.8893796936457,1
18,mp4_BF_SPM,7.500092591449504e-06,1.767211317491209e-15,1372.9121143661346,1
19,mp5_BF_SPM,5.2501889576736485e-06,6.061964824489306e-16,1388.0220254804578,1
