species,Compartment,MP_Form,Size_Fraction_um,mass_g,number_of_particles,concentration_g_m3,concentration_num_m3,mass_fraction,number_fraction
eA0_Utopia,Ocean_Surface_Water,freeMP,5000.0,46537.25689229897,725547.8666788659,1.2246646550604991e-11,1.9093364912601733e-10,4.167929266131218e-06,1.0110302135095467e-11
dA0_Utopia,Ocean_Surface_Water,freeMP,500.0,29794.892004525573,464522874.26051605,7.840761053822518e-12,1.2224286164750422e-07,2.668464165266068e-06,6.472993475860467e-09
cA0_Utopia,Ocean_Surface_Water,freeMP,50.0,2025.4461349262972,31578099363.908005,5.330121407700782e-13,8.310026148396843e-06,1.8140124249843032e-07,4.4003178850567155e-07
bA0_Utopia,Ocean_Surface_Water,freeMP,5.0,13.810471828391726,215314761592.15433,3.634334691682034e-15,5.66617793663564e-05,1.2368814484671496e-09,3.0003496582620976e-06
aA0_Utopia,Ocean_Surface_Water,freeMP,0.5,0.00947722705458111,147756492983.59128,2.494007119626608e-18,3.888328762726086e-05,8.487911544501827e-13,2.058944495728796e-06
eB0_Utopia,Ocean_Surface_Water,heterMP,5000.0,465372.56892460847,7255478.666813896,1.224664655064759e-10,1.909336491266815e-09,4.1679292661457153e-05,1.0110302135130634e-10
dB0_Utopia,Ocean_Surface_Water,heterMP,500.0,297948.9358600371,4645228989.168488,7.840761470000976e-11,1.2224286813601282e-06,2.668464306905036e-05,6.472993819439415e-08
cB0_Utopia,Ocean_Surface_Water,heterMP,50.0,20255.239743477916,315793129340.6619,5.330326248283662e-12,8.310345508964787e-05,1.8140821388489722e-06,4.400486992589449e-06
bB0_Utopia,Ocean_Surface_Water,heterMP,5.0,138.62933970443027,2161326824965.7751,3.6481405185376386e-14,0.0005687702170962566,1.241580017137099e-08,3.0117471522747e-05
aB0_Utopia,Ocean_Surface_Water,heterMP,0.5,0.09403820191136682,1466120294563.3716,2.4746895239833372e-17,0.0003858211301482557,8.422167528864421e-12,2.0429967236044e-05
eC0_Utopia,Ocean_Surface_Water,biofMP,5000.0,67721.07734939021,1046903.8572865291,1.782133614457637e-11,2.7550101507540243e-10,6.0651761420249816e-06,1.458830600937936e-11
dC0_Utopia,Ocean_Surface_Water,biofMP,500.0,1097.9399352022674,15752083.11841555,2.8893156189533355e-13,4.145285031161986e-09,9.833274013065017e-08,2.1950077575627022e-10
cC0_Utopia,Ocean_Surface_Water,biofMP,50.0,78.65834511809761,603784336.8849952,2.069956450476253e-14,1.588906149697356e-07,7.044730191164755e-09,8.413562151713209e-09
bC0_Utopia,Ocean_Surface_Water,biofMP,5.0,3.5637000684364004,1468903804.6968694,9.378158074832632e-16,3.8655363281496563e-07,3.191690014158919e-10,2.0468754654129287e-08
