Model_box,Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_sediment_resuspension,k_burial,k_runoff_transport,k_tillage,k_percolation,k_soil_air_resuspension,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Utopia,Ocean_Surface_Water,freeMP,mp1,1.6045073624072808e-09,1.5854895991882295e-06,378434.28980473353,0.0,1.1574074074074074e-06,0.0,5.8157894736842105e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean_Surface_Water,freeMP,mp2,1.6045073624072808e-09,1.5854895991882294e-07,39.35069130930067,0.0,1.1574074074074074e-06,0.0,5.8157894736842105e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean_Surface_Water,freeMP,mp3,1.6045073624072808e-09,1.5854895991882296e-08,0.005524980025994193,0.0,1.1574074074074074e-06,0.0,5.8157894736842105e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean_Surface_Water,freeMP,mp4,1.6045073624072808e-09,1.5854895991882293e-09,5.249334147510355e-06,0.0,1.1574074074074074e-06,0.0,5.8157894736842105e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean_Surface_Water,freeMP,mp5,1.6045073624072808e-09,1.5854895991882296e-10,8.217077030134274e-07,0.0,1.1574074074074074e-06,0.0,5.8157894736842105e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp1,1.6045073624072808e-10,0.0,0.0,37843.42897838838,1.1574074074074074e-06,0.0,5.8157894736842105e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp2,1.6045073624072808e-10,0.0,0.0,3.9350689221924684,1.1574074074074074e-06,0.0,5.8157894736842105e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp3,1.6045073624072808e-10,0.0,0.0,0.0005524768976916348,1.1574074074074074e-06,0.0,5.8157894736842105e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp4,1.6045073624072808e-10,0.0,0.0,5.226813406359178e-07,1.1574074074074074e-06,0.0,5.8157894736842105e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp5,1.6045073624072808e-10,0.0,0.0,8.318975463917088e-08,1.1574074074074074e-06,0.0,5.8157894736842105e-09,1.0898343867133186e-08,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean_Surface_Water,biofMP,mp1,3.2090147248145615e-10,7.94330289193303e-07,660023.4561330448,0.0,0.0,0.0,5.8157894736842105e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
