species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.9550623104590811
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.014854214152722018
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.014066995854515419
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.011092246880751704
bC8_Utopia,Sediment_Ocean,biofMP,5.0,0.00340470508590142
aC8_Utopia,Sediment_Ocean,biofMP,0.5,0.0006686204278360773
bD9_Utopia,Sediment_Coast,heterBiofMP,5.0,0.00028749284093837165
cC8_Utopia,Sediment_Ocean,biofMP,50.0,0.00023752492156798376
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.00019504368054955572
bD2_Utopia,Ocean_Column_Water,heterBiofMP,5.0,8.328474451465239e-05
