species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
dD8_Utopia,Sediment_Ocean,heterBiofMP,500.0,0.755416579053372
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.1241950725763475
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.029667973788261227
cD7_Utopia,Sediment_Freshwater,heterBiofMP,50.0,0.028447253806393062
dD7_Utopia,Sediment_Freshwater,heterBiofMP,500.0,0.01815315326012992
cC8_Utopia,Sediment_Ocean,biofMP,50.0,0.0142830335531057
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.0071542573329304
dC8_Utopia,Sediment_Ocean,biofMP,500.0,0.006145796747923167
bC8_Utopia,Sediment_Ocean,biofMP,5.0,0.004573324219112968
cC7_Utopia,Sediment_Freshwater,biofMP,50.0,0.0027680398116443363
