species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.7556135098848284
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.18580990248157062
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.027795589775258884
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.008775816516144402
aA12_Utopia,Background_Soil_Surface,freeMP,0.5,0.00812850670395742
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.006702742944024477
aA10_Utopia,Urban_Soil_Surface,freeMP,0.5,0.005144392756333411
bA12_Utopia,Background_Soil_Surface,freeMP,5.0,0.00032352039362516116
aD6_Utopia,Bulk_Freshwater,heterBiofMP,0.5,0.0003135657709473922
aA14_Utopia,Agricultural_Soil_Surface,freeMP,0.5,0.0002709502234652474
