species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
dD8_Utopia,Sediment_Ocean,heterBiofMP,500.0,0.9648567075060236
cC8_Utopia,Sediment_Ocean,biofMP,50.0,0.014935718715463456
dC8_Utopia,Sediment_Ocean,biofMP,500.0,0.007849726071187297
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.006038927642496422
bC8_Utopia,Sediment_Ocean,biofMP,5.0,0.003986950458708624
eD0_Utopia,Ocean_Surface_Water,heterBiofMP,5000.0,0.0010002164888162487
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.00043535009384812674
dD2_Utopia,Ocean_Column_Water,heterBiofMP,500.0,0.0003348796567223107
aC8_Utopia,Sediment_Ocean,biofMP,0.5,0.0002715028888993676
eC0_Utopia,Ocean_Surface_Water,biofMP,5000.0,0.0001000216488751784
