species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
dD8_Utopia,Sediment_Ocean,heterBiofMP,500.0,0.964862288063671
cC8_Utopia,Sediment_Ocean,biofMP,50.0,0.014935802341571956
dC8_Utopia,Sediment_Ocean,biofMP,500.0,0.007849771472590961
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.006038835259738165
bC8_Utopia,Sediment_Ocean,biofMP,5.0,0.003986972058386316
eD0_Utopia,Ocean_Surface_Water,heterBiofMP,5000.0,0.0010002301232745552
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.0004353247054879095
dD2_Utopia,Ocean_Column_Water,heterBiofMP,500.0,0.00033488159360601046
aC8_Utopia,Sediment_Ocean,biofMP,0.5,0.0002715043207869734
eC0_Utopia,Ocean_Surface_Water,biofMP,5000.0,0.00010002301232100896
