species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.9410855409134832
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.05250828649845863
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.0030155003571105793
aD6_Utopia,Bulk_Freshwater,heterBiofMP,0.5,0.0015881404016841805
cD7_Utopia,Sediment_Freshwater,heterBiofMP,50.0,0.0007523671822147384
bC7_Utopia,Sediment_Freshwater,biofMP,5.0,0.0006733810894991215
cC7_Utopia,Sediment_Freshwater,biofMP,50.0,0.0001761568525511771
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,5.300646754288375e-05
bD6_Utopia,Bulk_Freshwater,heterBiofMP,5.0,4.517143814487007e-05
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,3.502250488136979e-05
