species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
cD7_Utopia,Sediment_Freshwater,heterBiofMP,50.0,0.48244136111151853
dD7_Utopia,Sediment_Freshwater,heterBiofMP,500.0,0.24538304457766574
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.12214012464755417
cC7_Utopia,Sediment_Freshwater,biofMP,50.0,0.0452574942370884
cA10_Utopia,Urban_Soil_Surface,freeMP,50.0,0.040081657429198184
dA10_Utopia,Urban_Soil_Surface,freeMP,500.0,0.01992087106213158
dC7_Utopia,Sediment_Freshwater,biofMP,500.0,0.013807969026478113
bC7_Utopia,Sediment_Freshwater,biofMP,5.0,0.012879848646163539
bA10_Utopia,Urban_Soil_Surface,freeMP,5.0,0.009847899630498197
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.003388952572312177
