species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.8962501607350802
aA10_Utopia,Urban_Soil_Surface,freeMP,0.5,0.06543595952585499
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.032301457164650264
bA10_Utopia,Urban_Soil_Surface,freeMP,5.0,0.0026043980959919765
aD6_Utopia,Bulk_Freshwater,heterBiofMP,0.5,0.0015124779081163
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.0011589441821111773
aB5_Utopia,Surface_Freshwater,heterMP,0.5,0.00023013487001444878
cD7_Utopia,Sediment_Freshwater,heterBiofMP,50.0,0.00012758754754317624
aD5_Utopia,Surface_Freshwater,heterBiofMP,0.5,0.0001160178251308461
bC7_Utopia,Sediment_Freshwater,biofMP,5.0,9.00536741324375e-05
