Model_box,Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_sediment_resuspension,k_burial,k_runoff_transport,k_tillage,k_percolation,k_soil_air_resuspension,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Utopia,Ocean_Surface_Water,freeMP,mp1,1.6045073624072808e-09,1.5854895991882295e-06,12186151.47089658,0.0,1.1574074074074074e-06,0.0,6.4244186046511625e-09,0.8121415403523145,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,freeMP,mp2,1.6045073624072808e-09,1.5854895991882294e-07,1222.244381195161,0.0,1.1574074074074074e-06,0.0,6.4244186046511625e-09,0.008121415403523144,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,freeMP,mp3,1.6045073624072808e-09,1.5854895991882296e-08,0.12590863095729793,0.0,1.1574074074074074e-06,0.0,6.4244186046511625e-09,8.121415403523145e-05,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,freeMP,mp4,1.6045073624072808e-09,1.5854895991882293e-09,1.902626043284424e-05,0.0,1.1574074074074074e-06,0.0,6.4244186046511625e-09,8.121415403523146e-07,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,freeMP,mp5,1.6045073624072808e-09,1.5854895991882296e-10,8.166841470937223e-07,0.0,1.1574074074074074e-06,0.0,6.4244186046511625e-09,8.121415403523145e-09,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp1,1.6045073624072808e-10,0.0,0.0,1218615.1470921643,1.1574074074074074e-06,0.0,6.4244186046511625e-09,0.8121415403534428,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp2,1.6045073624072808e-10,0.0,0.0,122.22443837043585,1.1574074074074074e-06,0.0,6.4244186046511625e-09,0.008121415414798246,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp3,1.6045073624072808e-10,0.0,0.0,0.012590888712556026,1.1574074074074074e-06,0.0,6.4244186046511625e-09,8.121426678612474e-05,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp4,1.6045073624072808e-10,0.0,0.0,1.90580959564515e-06,1.1574074074074074e-06,0.0,6.4244186046511625e-09,8.132687641416142e-07,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp5,1.6045073624072808e-10,0.0,0.0,8.322633971723194e-08,1.1574074074074074e-06,0.0,6.4244186046511625e-09,1.7543675493433912e-08,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,biofMP,mp1,3.2090147248145615e-10,7.94330289193303e-07,24519421.905260395,0.0,0.0,0.0,6.4244186046511625e-09,0.8137858150464738,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,biofMP,mp2,3.2090147248145615e-10,8.085996955859972e-08,2595.5424439152694,0.0,0.0,0.0,6.4244186046511625e-09,0.008288745782827674,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,biofMP,mp3,3.2090147248145615e-10,9.512937595129377e-09,0.4479064279559628,0.0,0.0,0.0,6.4244186046511625e-09,0.00010069438754608766,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,biofMP,mp4,3.2090147248145615e-10,2.3782343987823448e-09,0.0015414482168531524,0.0,0.0,0.0,6.4244186046511625e-09,4.987274682507173e-06,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,biofMP,mp5,3.2090147248145615e-10,1.6647640791476412e-09,0.0003895865629139718,0.0,0.0,0.0,6.4244186046511625e-09,2.4001314230116466e-06,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterBiofMP,mp1,8.022536812036404e-11,0.0,0.0,2451942.19053106,0.0,0.0,6.4244186046511625e-09,0.8137858150476006,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterBiofMP,mp2,8.022536812036404e-11,0.0,0.0,259.55424490180366,0.0,0.0,6.4244186046511625e-09,0.00828874579393219,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterBiofMP,mp3,8.022536812036404e-11,0.0,0.0,0.04479070268689415,0.0,0.0,6.4244186046511625e-09,0.0001006944846405898,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterBiofMP,mp4,8.022536812036404e-11,0.0,0.0,0.0001541602643795934,0.0,0.0,6.4244186046511625e-09,4.987679181335948e-06,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterBiofMP,mp5,8.022536812036404e-11,0.0,0.0,3.896983018576224e-05,0.0,0.0,6.4244186046511625e-09,2.4007108372832474e-06,0.0,0.0,2.36e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Mixed_Water,freeMP,mp1,1.6045073624072808e-09,1.5854895991882292e-07,12186151.47089658,0.0,3.858024691358025e-07,0.0,6.424418604651162e-10,0.08121415403523144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Mixed_Water,freeMP,mp2,1.6045073624072808e-09,1.5854895991882293e-08,1222.244381195161,0.0,3.858024691358025e-07,0.0,6.424418604651162e-10,0.0008121415403523144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Mixed_Water,freeMP,mp3,1.6045073624072808e-09,1.5854895991882293e-09,0.12590863095729793,0.0,3.858024691358025e-07,0.0,6.424418604651162e-10,8.121415403523144e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Mixed_Water,freeMP,mp4,1.6045073624072808e-09,1.5854895991882296e-10,1.902626043284424e-05,0.0,3.858024691358025e-07,0.0,6.424418604651162e-10,8.121415403523147e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Mixed_Water,freeMP,mp5,1.6045073624072808e-09,1.5854895991882293e-11,8.166841470937223e-07,0.0,3.858024691358025e-07,0.0,6.424418604651162e-10,8.121415403523144e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Mixed_Water,heterMP,mp1,1.6045073624072808e-10,0.0,0.0,1218615.1470921643,3.858024691358025e-07,0.0,6.424418604651162e-10,0.08121415403534428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Mixed_Water,heterMP,mp2,1.6045073624072808e-10,0.0,0.0,122.22443837043585,3.858024691358025e-07,0.0,6.424418604651162e-10,0.0008121415414798246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Mixed_Water,heterMP,mp3,1.6045073624072808e-10,0.0,0.0,0.012590888712556026,3.858024691358025e-07,0.0,6.424418604651162e-10,8.121426678612475e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
