,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,1.9088529931213114e-11,1.9088529931212055e-11,1.0598251598335667e-24,5.191769198164393e-21,4.5646177778606235e-08
Ocean_Mixed_Water,1.5539913998971294e-05,1.5539913998971616e-05,-3.2187251995663413e-19,2.1891329116119217e-15,0.01833753830805855
Ocean_Column_Water,1.7176289147566692e-05,1.7176289147559015e-05,7.677506633912978e-18,1.939175378357967e-15,0.016102930833758546
Coast_Surface_Water,1.5536078075051382e-10,1.5536078083267147e-10,-8.215764639029809e-20,2.790720750177356e-21,2.366939222996767e-08
Coast_Column_Water,1.5892657619530557e-05,1.589265761953213e-05,-1.5720931501039814e-18,2.2719144781512247e-15,0.018500901886048127
Surface_Freshwater,1.0,1.0000000065974304,-6.597430379784441e-09,1.5524604265123444e-14,0.016261399383835695
Bulk_Freshwater,3.0478348203007766,3.0478348434261693,-2.3125392711875747e-08,1.5734751901693988e-09,12788.411518060817
Sediment_Freshwater,3.0477373029839905,3.0477373029839914,-8.881784197001252e-16,0.007528804464242906,6599572588.042949
Sediment_Ocean,1.6900113584622757e-05,1.6900113584622757e-05,0.0,1.6468476128351387e-08,138634.5915679427
Sediment_Coast,3.5272428680882777e-07,3.527242868088278e-07,-5.293955920339377e-23,5.953563987347243e-09,44169.565962487366
Urban_Soil_Surface,4.7100635802819845e-31,4.710063580281984e-31,8.758115402030107e-47,3.416769506421231e-35,3.0093406804028784e-22
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,7.442235692687548e-31,7.442235692687549e-31,-8.758115402030107e-47,3.4167695064212307e-35,3.009340680402878e-22
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,2.4807452308958495e-32,2.480745230895849e-32,5.473822126268817e-48,8.541923766053078e-36,7.523351701007197e-23
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,4.273041177406579e-30,4.273041177406578e-30,7.006492321624085e-46,1.0595317383468792e-42,9.310959020992874e-30
