species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.639654801129721
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.13755210653703326
cD7_Utopia,Sediment_Freshwater,heterBiofMP,50.0,0.09072899682697369
aC7_Utopia,Sediment_Freshwater,biofMP,0.5,0.0548450890739982
dD7_Utopia,Sediment_Freshwater,heterBiofMP,500.0,0.04251634055755606
bC7_Utopia,Sediment_Freshwater,biofMP,5.0,0.011962641593581149
cC7_Utopia,Sediment_Freshwater,biofMP,50.0,0.007495328217942875
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.004539779158660032
eD5_Utopia,Surface_Freshwater,heterBiofMP,5000.0,0.004090413833943403
dC7_Utopia,Sediment_Freshwater,biofMP,500.0,0.002392440417178536
