,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,0.0016223349354953353,0.001622320734604951,1.4200890384192394e-08,5.935499425146156e-12,1.8450703042607979
Ocean_Mixed_Water,0.0016219660447898906,0.0016219660447934824,-3.591744957009979e-15,1.5709459747436952e-13,1.9986776317658002
Ocean_Column_Water,0.0017958330072371357,0.0017958330073637842,-1.2664847469368024e-13,1.7193169170348022e-13,2.185248828262382
Coast_Surface_Water,0.0016238869471439392,0.0016238873568974993,-4.0975356007527663e-10,2.371834699972552e-13,0.08942033943363503
Coast_Column_Water,0.00013814552557450612,0.0001381455255561536,1.835250701409663e-14,1.9443793819161414e-14,0.24595344492280383
Surface_Freshwater,1.0000000129667215,1.0032034516807198,-0.003203438713998308,1.4927124098482095e-07,57087.95987741825
Bulk_Freshwater,3.702736595607514,3.702736595571683,3.583089380754245e-11,1.3423461917344954e-08,169509.525200287
Sediment_Freshwater,3.7021799998554092,3.7021799998554097,-4.440892098500626e-16,0.00993609595523985,100401776530.33012
Sediment_Ocean,0.0017715468286964475,0.0017715468286964473,2.168404344971009e-19,1.7278063511503639e-06,18817149.593676224
Sediment_Coast,5.1497771809299355e-06,5.149777180929936e-06,-8.470329472543003e-22,8.909176439224198e-08,948841.132099577
Urban_Soil_Surface,5.317037167363616e-22,5.3170371673636165e-22,-9.4039548065783e-38,3.940986210733333e-26,1.2399112788999118e-14
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,8.401297161243577e-22,8.401297161243575e-22,1.88079096131566e-37,3.9409862107333325e-26,1.2399112788999118e-14
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,2.8004323870811916e-23,2.800432387081192e-23,-5.877471754111438e-39,9.852465526833333e-27,3.0997781972497796e-15
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,4.823618472205238e-21,4.8236184722052384e-21,-7.52316384526264e-37,1.1960708251107013e-33,3.7188406701675987e-22
