species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.7106927794636616
aA7_Utopia,Sediment_Freshwater,freeMP,0.5,0.28463633385378884
aB7_Utopia,Sediment_Freshwater,heterMP,0.5,0.001701565149424016
aD6_Utopia,Bulk_Freshwater,heterBiofMP,0.5,0.0011993316423105334
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.0007948627686117443
aB6_Utopia,Bulk_Freshwater,heterMP,0.5,0.0006566646250258278
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.00015526809171558792
aA6_Utopia,Bulk_Freshwater,freeMP,0.5,7.899151550251522e-05
bA7_Utopia,Sediment_Freshwater,freeMP,5.0,6.200365069092349e-05
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,9.231612592284772e-06
