,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,7.443181072376197e-09,7.443181072240413e-09,1.357833519118046e-19,1.7625674907483855e-18,2.121759100047375e-05
Ocean_Mixed_Water,1.676024234664462e-05,1.6760242346678717e-05,-3.4098158324669114e-17,2.3179331803460224e-15,0.029103050788682156
Ocean_Column_Water,1.8528379547545075e-05,1.8528379548585828e-05,-1.0407527704231478e-15,1.9882058100507226e-15,0.025552812487661548
Coast_Surface_Water,4.6027305252473695e-08,4.602730515827999e-08,9.419370332937343e-17,1.0881843673064617e-18,1.094638961852456e-05
Coast_Column_Water,1.7338081604832123e-05,1.7338081604916173e-05,-8.404938529014971e-17,2.449245600670113e-15,0.029339954111536323
Surface_Freshwater,1.0,0.9999999965460488,3.4539512361320135e-09,4.598835251092816e-12,7.517577444258634
Bulk_Freshwater,3.0552293364661596,3.055229291847819,4.4618340577784465e-08,1.7061122526045332e-09,20279.324294759273
Sediment_Freshwater,3.055121891362359,3.055121891362358,8.881784197001252e-16,0.007555990841014353,10449911663.590649
Sediment_Ocean,1.8246355562954914e-05,1.8246355562954918e-05,-3.3881317890172014e-21,1.7784312547080696e-08,219987.89471109433
Sediment_Coast,5.851997127715559e-07,5.851997127715558e-07,1.0587911840678754e-22,8.9952824364389e-09,70498.43451060577
Urban_Soil_Surface,1.6022643612386366e-28,1.6022643612386368e-28,-2.2420775429197073e-44,1.1616730550887049e-32,1.3997900744305601e-19
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,2.5316917309251056e-28,2.531691730925105e-28,4.484155085839415e-44,1.1616730550887046e-32,1.39979007443056e-19
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,8.43897243641702e-30,8.43897243641702e-30,0.0,2.9041826377217623e-33,3.4994751860764004e-20
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,1.4535992480825954e-27,1.4535992480825952e-27,1.793662034335766e-43,3.6043036681317767e-40,4.327700124543581e-27
