species,Compartment,MP_Form,Size_Fraction_um,mass_fraction,% of total mass
eB8_Utopia,Sediment_Ocean,heterMP,5000,0.828739147,82.87
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.085149929,8.51
eB9_Utopia,Sediment_Coast,heterMP,5000,0.017765554,1.78
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5,0.017480096,1.75
eB7_Utopia,Sediment_Freshwater,heterMP,5000,0.010187356,1.02
aC7_Utopia,Sediment_Freshwater,biofMP,0.5,0.007174625,0.72
cB7_Utopia,Sediment_Freshwater,heterMP,50,0.007173373,0.72
aA8_Utopia,Sediment_Ocean,freeMP,0.5,0.005800444,0.58
aA12_Utopia,Background_Soil_Surface,freeMP,0.5,0.00433304,0.43
aA10_Utopia,Urban_Soil_Surface,freeMP,0.5,0.002742307,0.27
