species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.8527258209034712
aA8_Utopia,Sediment_Ocean,freeMP,0.5,0.05808798861093145
aA12_Utopia,Background_Soil_Surface,freeMP,0.5,0.04339281363033321
aA10_Utopia,Urban_Soil_Surface,freeMP,0.5,0.02746256898676493
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.009351367401094587
aA7_Utopia,Sediment_Freshwater,freeMP,0.5,0.0032994190124953984
aA9_Utopia,Sediment_Coast,freeMP,0.5,0.0019160975818011967
aA14_Utopia,Agricultural_Soil_Surface,freeMP,0.5,0.001446427121011107
aD6_Utopia,Bulk_Freshwater,heterBiofMP,0.5,0.0014387889006300398
aB5_Utopia,Surface_Freshwater,heterMP,0.5,0.0002513013482595654
