,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,0.6746097964801077,0.6746097964223152,5.77924375022576e-11,6.6735641470099335e-15,0.05641481843270488
Ocean_Mixed_Water,0.6747539202051689,0.6747539186170107,1.5881581605370343e-09,2.5331489801558664e-14,0.2039946646907564
Ocean_Column_Water,0.7125914819231639,0.7125914346217664,4.730139746556006e-08,6.5715208559187e-14,0.5229650518875786
Coast_Surface_Water,0.01733947127186485,0.01733947128232086,-1.0456011056980685e-11,3.683417868414628e-15,0.029103609596582265
Coast_Column_Water,0.025495237601996217,0.0254952376550245,-5.3028283153455646e-11,2.1093308059525102e-14,0.1558437962340622
Surface_Freshwater,0.23355125737057708,0.23355125754202166,-1.714445807543541e-10,2.367833611560924e-09,19992.111461753237
Bulk_Freshwater,0.8315087692775798,0.8315087698776186,-6.00038796427782e-10,3.0325726821871255e-09,23374.01832629564
Sediment_Freshwater,0.8313754123647297,0.8313754123647298,-1.1102230246251565e-16,0.0021987153301188294,13712092029.214901
Sediment_Ocean,0.7125802110220112,0.712580211022011,2.220446049250313e-16,0.00036736267734238285,28526387.0112748
Sediment_Coast,0.025350957477218383,0.02535095747721838,3.469446951953614e-18,0.000307571142443345,31631486.329744298
Urban_Soil_Surface,0.11020829833397117,0.11020829833397115,1.3877787807814457e-17,6.219746809218253e-06,42577395.31911442
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,0.1741369553746733,0.17413695537467327,2.7755575615628914e-17,6.219746809218254e-06,42577395.319114424
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,0.005804565179155777,0.005804565179155776,8.673617379884035e-19,1.5549367023045635e-06,10644348.829778606
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,1.0000000000000002,0.9999999999999999,3.3306690738754696e-16,2.479142540726662e-13,2.3977393746230374e-12
