,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,0.7518453719549881,0.7518403468644455,5.025090542676303e-06,2.7120640065430684e-09,1034.6089970459857
Ocean_Mixed_Water,0.6908516749515012,0.6908516749531991,-1.6978640715592519e-12,6.55660174183798e-11,827.8669832917309
Ocean_Column_Water,0.7649727917579371,0.7649727918178713,-5.993416873906199e-11,7.17567503580309e-11,905.0276011082087
Coast_Surface_Water,0.0773186007546815,0.0773186099211386,-9.16645710724584e-09,1.1295434096614521e-11,3.4554305167373407
Coast_Column_Water,9.358720162017526e-05,9.358720158308263e-05,3.7092629857383985e-14,1.2700169337349778e-14,0.14193150902201587
Surface_Freshwater,0.23355128324919422,0.2336345796466,-8.329639740578543e-05,6.6340760098093466e-09,33916.725485706294
Bulk_Freshwater,0.8642291039860963,0.8642291039834836,2.612687843850381e-12,3.2824194521403544e-09,41456.282060273836
Sediment_Freshwater,0.8640924610467143,0.8640924610467144,-1.1102230246251565e-16,0.0023190476918256847,24458428136.429844
Sediment_Ocean,0.7548445125046553,0.7548445125046553,0.0,0.0007362225243452957,7793232528.5759115
Sediment_Coast,6.717915098343504e-06,6.717915098343504e-06,0.0,1.1627232182133333e-07,546665.126212741
Urban_Soil_Surface,0.11020829833397117,0.11020829833397115,1.3877787807814457e-17,6.219746809218253e-06,68645188.37163344
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,0.1741369553746733,0.17413695537467327,2.7755575615628914e-17,6.219746809218254e-06,68645188.37163346
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,0.005804565179155777,0.005804565179155776,8.673617379884035e-19,1.5549367023045635e-06,17161297.092908364
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,1.0000000000000002,0.9999999999999999,3.3306690738754696e-16,2.479142540726662e-13,3.8657432816385585e-12
