species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.6987538683924073
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.15445052163803022
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.10705232619473813
aC8_Utopia,Sediment_Ocean,biofMP,0.5,0.02010385979367837
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.008747947708632627
bC8_Utopia,Sediment_Ocean,biofMP,5.0,0.004324834055778077
cC8_Utopia,Sediment_Ocean,biofMP,50.0,0.002320308428841596
eD0_Utopia,Ocean_Surface_Water,heterBiofMP,5000.0,0.0010066434887597694
bD2_Utopia,Ocean_Column_Water,heterBiofMP,5.0,0.0009888124709162398
aC2_Utopia,Ocean_Column_Water,biofMP,0.5,0.0008750528244108114
