species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.9711662026361159
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.016054291944538064
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.01215837441672813
aD1_Utopia,Ocean_Mixed_Water,heterBiofMP,0.5,0.00036721632306617165
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.0002095703047992987
aD0_Utopia,Ocean_Surface_Water,heterBiofMP,0.5,3.6450317747254444e-05
bD9_Utopia,Sediment_Coast,heterBiofMP,5.0,3.7689394284394957e-06
aD4_Utopia,Coast_Column_Water,heterBiofMP,0.5,1.4940340116377275e-06
bD2_Utopia,Ocean_Column_Water,heterBiofMP,5.0,1.3416965428250073e-06
aD3_Utopia,Coast_Surface_Water,heterBiofMP,0.5,9.405964601942131e-07
