,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,79.04501278340881,79.04501277916039,4.24842028223793e-09,3.532580532227828e-06,0.013729792284332373
Ocean_Mixed_Water,9.205598987447313e-06,9.205598987447312e-06,1.6940658945086007e-21,9.911678025387282e-16,0.013772728880554383
Ocean_Column_Water,1.0274239226577812e-05,1.0274239226577814e-05,-1.6940658945086007e-21,1.0969924233887605e-15,0.015229827241892481
Coast_Surface_Water,78.070029762235,78.07002976196861,2.6638247163646156e-10,3.5314485422356927e-06,0.013799836287401583
Coast_Column_Water,4.2201139169441367e-07,4.2201139169441367e-07,0.0,1.5891917765935586e-15,0.021830365692535256
Surface_Freshwater,8.914901745316586e-16,8.914901818773099e-16,-7.345651276718921e-24,5.164922236165167e-20,1.873800125524409e-16
Bulk_Freshwater,1.6014241836365524e-20,1.601424183636552e-20,3.009265538105056e-36,5.189788733364653e-29,7.176583103988189e-16
Sediment_Freshwater,1.601259037810938e-20,1.601259037810938e-20,0.0,4.3599993705313266e-23,4.2530805637055325e-10
Sediment_Ocean,1.0159348874091587e-05,1.0159348874091583e-05,3.3881317890172014e-21,1.061437334158592e-08,121663.09656385522
Sediment_Coast,3.8687899574049514e-07,3.8687899574049504e-07,1.0587911840678754e-22,7.045086201005196e-09,78172.87089552541
Urban_Soil_Surface,3.242381402834628e-16,3.242381402834628e-16,0.0,2.4189026167233375e-20,9.405705913337182e-17
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,5.123193390955781e-16,5.123193390955781e-16,0.0,2.4189026167233372e-20,9.405705913337181e-17
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,1.707731130318594e-17,1.707731130318594e-17,0.0,6.047256541808344e-21,2.351426478334296e-17
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,2.9414813291657815e-15,2.9414813291657823e-15,-7.888609052210118e-31,1.2156261961129385e-28,4.72531603749484e-25
