species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.644302571455872
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.1396322335801865
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.09251566492140251
eD2_Utopia,Ocean_Column_Water,heterBiofMP,5000.0,0.08048129656571375
dD2_Utopia,Ocean_Column_Water,heterBiofMP,500.0,0.019988490035300725
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.008055850082240966
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.006169004581957824
cD9_Utopia,Sediment_Coast,heterBiofMP,50.0,0.002392904086683909
bD9_Utopia,Sediment_Coast,heterBiofMP,5.0,0.0019947163910441247
eD1_Utopia,Ocean_Mixed_Water,heterBiofMP,5000.0,0.0014470455804354468
