species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.6258366252273613
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.13426005153657672
cD7_Utopia,Sediment_Freshwater,heterBiofMP,50.0,0.08937370595357438
dD7_Utopia,Sediment_Freshwater,heterBiofMP,500.0,0.04369647254775652
eD5_Utopia,Surface_Freshwater,heterBiofMP,5000.0,0.037838778215787565
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.03576821471321221
eD6_Utopia,Bulk_Freshwater,heterBiofMP,5000.0,0.0107342307020788
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.007571732591524168
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.004947704659159515
eD2_Utopia,Ocean_Column_Water,heterBiofMP,5000.0,0.004339819533904752
