species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.9408304094912637
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.053770940751793575
aD5_Utopia,Surface_Freshwater,heterBiofMP,0.5,0.0017557505150537214
aD6_Utopia,Bulk_Freshwater,heterBiofMP,0.5,0.001587171661683443
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.0011478532971532273
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.0006723361434379117
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.00020183532598397558
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,1.1382709140830549e-05
aD1_Utopia,Ocean_Mixed_Water,heterBiofMP,0.5,7.499412481407762e-06
aB7_Utopia,Sediment_Freshwater,heterMP,0.5,6.58230939058228e-06
