,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,1785.1325007779942,1785.132500777994,2.2737367544323206e-13,5.189321728084661e-11,7.026758614267311
Ocean_Mixed_Water,10677.770815634634,10677.770815634636,-1.8189894035458565e-12,8.633639658123018e-12,7.027641293512237
Ocean_Column_Water,8892.655015262724,8892.655015262724,0.0,1.782677067130666e-11,21.042145596501737
Coast_Surface_Water,61.60963361492599,61.60963361492615,-1.6342482922482304e-13,6.974787015596974e-10,389.0755016101519
Coast_Column_Water,61.59591603443335,61.59591603443333,2.1316282072803006e-14,1.2382663873724818e-11,38.990833073167956
Surface_Freshwater,368095.80114947376,368095.8011494744,-6.402842700481415e-10,1.353247666934356e-06,626412.2965774122
Bulk_Freshwater,368098.5536619874,368098.5536619876,-1.7462298274040222e-10,1.3696435987962877e-07,188408.49731305978
Sediment_Freshwater,3.7481373287416866,3.748137328741686,4.440892098500626e-16,0.010205638969131367,111513640973.15836
Sediment_Ocean,0.013945842973743294,0.01394584297374329,3.469446951953614e-18,1.457045951729596e-05,168302939.77691785
Sediment_Coast,0.0006879916062496184,0.0006879916062496185,-1.0842021724855044e-19,1.252835788600746e-05,139646366.15204635
Urban_Soil_Surface,6.2460036298431035e-21,6.246003629843103e-21,7.52316384526264e-37,4.659667119822334e-25,8.167875584205763e-13
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,9.869130290570596e-21,9.869130290570595e-21,1.504632769052528e-36,4.659667119822334e-25,8.16787558420576e-13
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,3.2897100968568653e-22,3.289710096856866e-22,-9.4039548065783e-38,1.1649167799555835e-25,2.0419688960514399e-13
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,5.666360868334473e-20,5.666360868334473e-20,0.0,2.341737349842873e-33,5.708280551278849e-22
