species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.9239936359385603
aA10_Utopia,Urban_Soil_Surface,freeMP,0.5,0.06668027466426424
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.004142747403494104
aD5_Utopia,Surface_Freshwater,heterBiofMP,0.5,0.0017246270185559338
aD6_Utopia,Bulk_Freshwater,heterBiofMP,0.5,0.0015590554802990162
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.0007662430014006817
aB7_Utopia,Sediment_Freshwater,heterMP,0.5,0.00046314516368003945
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.00020553542776321107
aB5_Utopia,Surface_Freshwater,heterMP,0.5,0.00020186277346926607
aB6_Utopia,Bulk_Freshwater,heterMP,0.5,0.00018236890350938723
