species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.6483011773232347
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.1413052864487674
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.09492325550739356
eD2_Utopia,Ocean_Column_Water,heterBiofMP,5000.0,0.0812224709454515
dD2_Utopia,Ocean_Column_Water,heterBiofMP,500.0,0.019893321332921744
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.008105702160035849
eD1_Utopia,Ocean_Mixed_Water,heterBiofMP,5000.0,0.001460370384202326
eB2_Utopia,Ocean_Column_Water,heterMP,5000.0,0.0013579460742247544
eD0_Utopia,Ocean_Surface_Water,heterBiofMP,5000.0,0.0010414071662294756
bD2_Utopia,Ocean_Column_Water,heterBiofMP,5.0,0.0009038596361567627
