species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.9863715410399572
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.01233259202739215
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.0008547036227827019
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.00021499191737865746
aD1_Utopia,Ocean_Mixed_Water,heterBiofMP,0.5,0.00013756079335760696
aB2_Utopia,Ocean_Column_Water,heterMP,0.5,5.9656034876785175e-05
aD0_Utopia,Ocean_Surface_Water,heterBiofMP,0.5,1.3753917988316378e-05
aB8_Utopia,Sediment_Ocean,heterMP,0.5,1.179872109177306e-05
bD2_Utopia,Ocean_Column_Water,heterBiofMP,5.0,1.375196364567528e-06
aD3_Utopia,Coast_Surface_Water,heterBiofMP,0.5,7.929472855656211e-07
