Model_box,Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_sediment_resuspension,k_burial,k_runoff_transport,k_tillage,k_percolation,k_soil_air_resuspension,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Utopia,Ocean_Surface_Water,freeMP,mp1,1.6045073624072808e-09,"[1.5854895991882295e-09, 1.4269406392694065e-08, 1.4269406392694064e-07, 1.4269406392694066e-06, 0.0]",11595765.596768307,0.0,1.1574074074074074e-06,0.0,6.4244186046511625e-09,0.7727903523146251,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,freeMP,mp2,1.6045073624072808e-09,"[1.5854895991882295e-09, 1.4269406392694064e-08, 1.4269406392694064e-07, 0.0, 0.0]",1163.0995456926264,0.0,1.1574074074074074e-06,0.0,6.4244186046511625e-09,0.00772790352314625,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,freeMP,mp3,1.6045073624072808e-09,"[1.5854895991882297e-09, 1.4269406392694067e-08, 0.0, 0.0, 0.0]",0.11988791105191464,0.0,1.1574074074074074e-06,0.0,6.4244186046511625e-09,7.72790352314625e-05,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,freeMP,mp4,1.6045073624072808e-09,"[1.5854895991882293e-09, 0.0, 0.0, 0.0, 0.0]",1.8319178610589018e-05,0.0,1.1574074074074074e-06,0.0,6.4244186046511625e-09,7.727903523146252e-07,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,freeMP,mp5,1.6045073624072808e-09,"[0.0, 0.0, 0.0, 0.0, 0.0]",8.166841470937223e-07,0.0,1.1574074074074074e-06,0.0,6.4244186046511625e-09,7.727903523146251e-09,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp1,1.6045073624072808e-10,"[1.5854895991887582e-11, 1.4269406392698825e-10, 1.4269406392698824e-09, 1.4269406392698825e-08, 0.0]",0.0,0.01159576559679258,1.1574074074074074e-06,0.0,6.4244186046511625e-09,0.7727903523157269,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp2,1.6045073624072808e-10,"[1.5854895997167266e-11, 1.4269406397450538e-10, 1.426940639745054e-09, 0.0, 0.0]",0.0,1.1630995481230036e-06,1.1574074074074074e-06,0.0,6.4244186046511625e-09,0.007727903534159008,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp3,1.6045073624072808e-10,"[1.585490127684587e-11, 1.4269411149161285e-10, 0.0, 0.0, 0.0]",0.0,1.198881592318884e-10,1.1574074074074074e-06,0.0,6.4244186046511625e-09,7.727914535894368e-05,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp4,1.6045073624072808e-10,"[1.586017919653587e-11, 0.0, 0.0, 0.0, 0.0]",0.0,1.83501093191107e-14,1.1574074074074074e-06,0.0,6.4244186046511625e-09,7.738913463489782e-07,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp5,1.6045073624072808e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,8.320863168261496e-16,1.1574074074074074e-06,0.0,6.4244186046511625e-09,1.6919014320561642e-08,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,biofMP,mp1,3.2090147248145615e-10,"[7.94330289193303e-10, 7.148972602739727e-09, 7.148972602739727e-08, 7.148972602739727e-07, 0.0]",23329176.081745446,0.0,0.0,0.0,6.4244186046511625e-09,0.7742770648518815,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
