species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
eB8_Utopia,Sediment_Ocean,heterMP,5000.0,0.43258030998535923
dB8_Utopia,Sediment_Ocean,heterMP,500.0,0.34480227091253857
cB8_Utopia,Sediment_Ocean,heterMP,50.0,0.06680832264363207
cB7_Utopia,Sediment_Freshwater,heterMP,50.0,0.05118292418793091
dB7_Utopia,Sediment_Freshwater,heterMP,500.0,0.027478456159282835
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.021061640798928874
eB9_Utopia,Sediment_Coast,heterMP,5000.0,0.01032411112983338
eB7_Utopia,Sediment_Freshwater,heterMP,5000.0,0.009107167218164128
dB9_Utopia,Sediment_Coast,heterMP,500.0,0.007245891008206798
bB8_Utopia,Sediment_Ocean,heterMP,5.0,0.006975894849104872
