species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.7279161970684673
aB8_Utopia,Sediment_Ocean,heterMP,0.5,0.17900984161005995
aA12_Utopia,Background_Soil_Surface,freeMP,0.5,0.032203529210285436
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.023663486063791053
aA10_Utopia,Urban_Soil_Surface,freeMP,0.5,0.020381062405608573
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.004837017991505981
aB9_Utopia,Sediment_Coast,heterMP,0.5,0.0024297930917197125
aB7_Utopia,Sediment_Freshwater,heterMP,0.5,0.002333570018797987
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.0016781920670032747
bB8_Utopia,Sediment_Ocean,heterMP,5.0,0.0016020845296008564
