,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,0.6745850906416393,0.6745850906416395,-2.220446049250313e-16,3.4642865931789597e-16,0.00040037326447022164
Ocean_Mixed_Water,0.6746024332032082,0.6746024332032085,-2.220446049250313e-16,2.133066842823818e-15,0.0051299892821474735
Ocean_Column_Water,0.7159994176836536,0.7159994176836538,-2.220446049250313e-16,5.0743531730156245e-14,0.06629364328303476
Coast_Surface_Water,0.017319182826623158,0.017319182826623154,3.469446951953614e-18,2.2114920883165384e-14,0.06720812618116596
Coast_Column_Water,0.026567699496696146,0.026567699496696136,1.0408340855860843e-17,7.850859677644432e-13,1.2270564970457207
Surface_Freshwater,0.2339359702614846,0.23393597026148455,5.551115123125783e-17,3.529720568195744e-10,718.5603497586773
Bulk_Freshwater,0.8027308069640161,0.8027308069640163,-2.220446049250313e-16,5.793923403980848e-10,936.1698463166388
Sediment_Freshwater,0.8027085167003908,0.8027085167003908,0.0,0.002091188480987764,551862035.881754
Sediment_Ocean,0.715992414316744,0.7159924143167437,3.3306690738754696e-16,0.0004019130141112787,4052006.6093388586
Sediment_Coast,0.026550338867186447,0.02655033886718645,-3.469446951953614e-18,0.0003488004436087066,3191289.4413539823
Urban_Soil_Surface,0.11020829833397117,0.11020829833397118,-1.3877787807814457e-17,6.230834716077986e-06,1491071.7065824897
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,0.1741369553746733,0.1741369553746733,0.0,6.230834716077986e-06,1491071.70658249
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,0.005804565179155777,0.005804565179155776,8.673617379884035e-19,1.5577086790194963e-06,372767.9266456224
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,1.0000000000000002,0.9999999999999999,3.3306690738754696e-16,4.1319042345444364e-14,3.9956445206219016e-13
