Model_box,Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_sediment_resuspension,k_burial,k_runoff_transport,k_tillage,k_percolation,k_soil_air_resuspension,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Utopia,Ocean_Surface_Water,freeMP,mp1,1.6045073624072808e-09,"[1.1098427194317607e-06, 2.3782343987823441e-07, 1.5854895991882297e-07, 7.927447995941148e-08, 0.0]",550106.7738392972,0.0,1.1574074074074074e-06,0.0,6.4244186046511625e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,freeMP,mp2,1.6045073624072808e-09,"[9.512937595129376e-08, 3.170979198376459e-08, 3.170979198376459e-08, 0.0, 0.0]",56.54879301933238,0.0,1.1574074074074074e-06,0.0,6.4244186046511625e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,freeMP,mp3,1.6045073624072808e-09,"[7.927447995941148e-09, 7.927447995941148e-09, 0.0, 0.0, 0.0]",0.007275258769968239,0.0,1.1574074074074074e-06,0.0,6.4244186046511625e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,freeMP,mp4,1.6045073624072808e-09,"[1.5854895991882293e-09, 0.0, 0.0, 0.0, 0.0]",5.449874081195323e-06,0.0,1.1574074074074074e-06,0.0,6.4244186046511625e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,freeMP,mp5,1.6045073624072808e-09,"[0.0, 0.0, 0.0, 0.0, 0.0]",8.215402511494373e-07,0.0,1.1574074074074074e-06,0.0,6.4244186046511625e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp1,1.6045073624072808e-10,"[1.1098427194321308e-08, 2.3782343987831376e-09, 1.5854895991887585e-09, 7.927447995943792e-10, 0.0]",0.0,0.0005501067738190957,1.1574074074074074e-06,0.0,6.4244186046511625e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp2,1.6045073624072808e-10,"[9.512937598300358e-10, 3.170979199433453e-10, 3.170979199433453e-10, 0.0, 0.0]",0.0,5.6548790996822596e-08,1.1574074074074074e-06,0.0,6.4244186046511625e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp3,1.6045073624072808e-10,"[7.927450638422935e-11, 7.927450638422935e-11, 0.0, 0.0, 0.0]",0.0,7.275054313886768e-12,1.1574074074074074e-06,0.0,6.4244186046511625e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp4,1.6045073624072808e-10,"[1.586017919653587e-11, 0.0, 0.0, 0.0, 0.0]",0.0,5.428120052900945e-15,1.1574074074074074e-06,0.0,6.4244186046511625e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,heterMP,mp5,1.6045073624072808e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,8.319049301156804e-16,1.1574074074074074e-06,0.0,6.4244186046511625e-09,1.049519374847094e-08,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,biofMP,mp1,3.2090147248145615e-10,"[5.560312024353121e-07, 1.1914954337899544e-07, 7.943302891933031e-08, 3.9716514459665155e-08, 0.0]",1011167.9808373844,0.0,0.0,0.0,6.4244186046511625e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,biofMP,mp2,3.2090147248145615e-10,"[4.8515981735159826e-08, 1.6171993911719945e-08, 1.6171993911719945e-08, 0.0, 0.0]",20.741209592020706,0.0,0.0,0.0,6.4244186046511625e-09,0.0,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,biofMP,mp3,3.2090147248145615e-10,"[4.756468797564689e-09, 4.756468797564689e-09, 0.0, 0.0, 0.0]",0.12677629506930527,0.0,0.0,0.0,6.4244186046511625e-09,2.758192680595385e-05,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,biofMP,mp4,3.2090147248145615e-10,"[2.3782343987823448e-09, 0.0, 0.0, 0.0, 0.0]",0.0013616785387678383,0.0,0.0,0.0,6.4244186046511625e-09,4.36333043151714e-06,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Surface_Water,biofMP,mp5,3.2090147248145615e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.000364389915082287,0.0,0.0,0.0,6.4244186046511625e-09,2.2262072786816497e-06,0.0,0.0,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
