species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.6447599201291719
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.1419424133565684
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.09669611596534557
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.049796415534402796
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.011071921556030003
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.010695963701006292
eD0_Utopia,Ocean_Surface_Water,heterBiofMP,5000.0,0.009242299030801896
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.008061185773157575
cD7_Utopia,Sediment_Freshwater,heterBiofMP,50.0,0.005720975269200321
eB7_Utopia,Sediment_Freshwater,heterMP,5000.0,0.004912489284980386
