,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,1.4540265411922022,1.4540265411968867,-4.6844750301033855e-12,3.526861441019687e-08,993.0534540362873
Ocean_Mixed_Water,0.6673498254487388,0.6673498254487389,-1.1102230246251565e-16,7.134916507408027e-11,970.2663766742469
Ocean_Column_Water,0.7448406974310062,0.7448406974310061,1.1102230246251565e-16,7.897601430010378e-11,1073.0615584188592
Coast_Surface_Water,0.7967792909238938,0.7967792909213761,2.5176527529424675e-12,3.5268865566534436e-08,996.1187679558694
Coast_Column_Water,0.03071353122878269,0.03071353122878269,0.0,1.1491748593102298e-10,1545.081387336989
Surface_Freshwater,0.2339359702614846,0.2339359702614846,0.0,2.6925112907434633e-09,32798.36403920863
Bulk_Freshwater,0.8885609438559923,0.888560943855992,2.220446049250313e-16,3.2018367197509906e-09,43060.84313479191
Sediment_Freshwater,0.8884570198241108,0.8884570198241112,-3.3306690738754696e-16,0.002406959358336334,25300198586.041363
Sediment_Ocean,0.736569370955336,0.736569370955336,0.0,0.000769559387298123,8583621689.065393
Sediment_Coast,0.028172698559123067,0.028172698559123063,3.469446951953614e-18,0.0005130261602632295,5534682251.918899
Urban_Soil_Surface,0.11020829833397117,0.11020829833397114,2.7755575615628914e-17,6.2308347160779845e-06,67441695.34198657
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,0.1741369553746733,0.1741369553746733,0.0,6.230834716077985e-06,67441695.34198658
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,0.005804565179155777,0.005804565179155777,0.0,1.5577086790194963e-06,16860423.83549665
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,1.0000000000000002,1.0,2.220446049250313e-16,4.1319042345444364e-14,6.314049785113977e-13
