,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,1.2883712612685247,0.00012701764274051703,3.7009038412742886e-06,4086.6788428064315
1,Ocean_Mixed_Water,0.02875593729983558,0.03566476296752214,8.260271088911168e-11,1147.4817915715146
2,Ocean_Column_Water,0.9217688496684756,1.1387141007964257,8.843211616531904e-11,1223.6081958593734
3,Coast_Surface_Water,0.03430593097035518,0.00035088514620565007,3.839137977438521e-06,439814.1358635333
4,Coast_Column_Water,0.001855798732430186,0.0021978507246563058,4.148908140581734e-10,5503.523514286297
5,Surface_Freshwater,0.000844967844371665,0.0006153532046805353,9.226071538265929e-08,752559.410587453
6,Bulk_Freshwater,0.005849128745225982,0.00757144552211368,2.124944011639953e-09,30808.801298930608
7,Sediment_Freshwater,3.293180650449428,3.597833506530055,0.0011963874975623769,14639864644.812925
8,Sediment_Ocean,89.4854311788009,91.08437301075266,0.0008585000510652449,9787494969.34473
9,Sediment_Coast,4.471874291947831,3.672558426869277,0.0016675118456015363,15338671382.736864
10,Urban_Soil_Surface,0.177185156250076,0.17472048228721085,6.230834716077986e-06,68818056.47141491
11,Urban_Soil,0.0,0.0,0.0,0.0
12,Background_Soil_Surface,0.2799651579182695,0.27607079763530806,6.2308347160779845e-06,68818056.47141488
13,Background_Soil,0.0,0.0,0.0,0.0
14,Agricultural_Soil_Surface,0.009332171930608986,0.009202359921176937,1.5577086790194965e-06,17204514.117853723
15,Agricultural_Soil,0.0,0.0,0.0,0.0
16,Air,0.001279518173688759,1.781305583789542e-15,4.1319042345444364e-14,6.442907646849572e-13
