,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,1.0278370605105958,1.027837060510596,-2.220446049250313e-16,5.8553140888179615e-15,0.04991486081734583
Ocean_Mixed_Water,1.02787871835547,1.0278787183554698,2.220446049250313e-16,5.863890195931437e-15,0.04998912619537889
Ocean_Column_Water,1.0627400997847771,1.0627400997847767,4.440892098500626e-16,3.779215492764594e-12,32.72537829836376
Coast_Surface_Water,0.0004036926219056738,0.00040369262190567375,5.421010862427522e-20,3.3077213292907645e-15,0.030550703379512385
Coast_Column_Water,0.00040488420178303353,0.00040488420178303364,-1.0842021724855044e-19,3.3129064326434235e-15,0.030596764066561036
Surface_Freshwater,1.4657999391370297e-23,1.4657999391370294e-23,2.938735877055719e-39,2.4087883932721417e-34,2.2490646449809583e-21
Bulk_Freshwater,1.4697215297117195e-23,1.4697215297117195e-23,0.0,2.415010546518309e-34,2.2547011171649656e-21
Sediment_Freshwater,5.348658721281785e-26,5.348658721281786e-26,-1.1479437019748901e-41,1.45300883495499e-28,1.2750133895768674e-15
Sediment_Ocean,1.0623360240141975,1.0623360240141977,-2.220446049250313e-16,0.0006087312766372315,2102871697.992045
Sediment_Coast,7.061781657887515e-07,7.06178165788751e-07,4.235164736271502e-22,1.2473990182290642e-08,104852.11457786534
Urban_Soil_Surface,5.31581974775812e-27,5.3158197477581195e-27,7.174648137343064e-43,3.95627162518074e-31,3.421680635338621e-18
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,8.399373551617813e-27,8.399373551617814e-27,-1.4349296274686127e-42,3.95627162518074e-31,3.4216806353386204e-18
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,2.7997911838726043e-28,2.7997911838726043e-28,0.0,9.890679062951847e-32,8.554201588346551e-19
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,4.822507133102801e-26,4.8225071331028013e-26,-5.739718509874451e-42,1.9929949430193026e-39,1.700998443426723e-26
