species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.6500498440874029
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.14161835611997756
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.09517353811336834
eD1_Utopia,Ocean_Mixed_Water,heterBiofMP,5000.0,0.06545349102215656
dD1_Utopia,Ocean_Mixed_Water,heterBiofMP,500.0,0.023525687603235142
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.008127568270387048
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.007461271925486202
eD0_Utopia,Ocean_Surface_Water,heterBiofMP,5000.0,0.0029734419041126518
bD9_Utopia,Sediment_Coast,heterBiofMP,5.0,0.0016762543287738728
cD9_Utopia,Sediment_Coast,heterBiofMP,50.0,0.00119853028562421
