species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.9760035088202567
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.01220296446837909
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.01120256799655115
aD1_Utopia,Ocean_Mixed_Water,heterBiofMP,0.5,0.0003673608901344583
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.00021262986791497525
aD4_Utopia,Coast_Column_Water,heterBiofMP,0.5,5.20936433817351e-06
bD9_Utopia,Sediment_Coast,heterBiofMP,5.0,2.516776400208582e-06
bD2_Utopia,Ocean_Column_Water,heterBiofMP,5.0,1.360085542134327e-06
aB1_Utopia,Ocean_Mixed_Water,heterMP,0.5,1.17428803036655e-06
aD0_Utopia,Ocean_Surface_Water,heterBiofMP,0.5,3.669488297547099e-07
