species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
eB8_Utopia,Sediment_Ocean,heterMP,5000.0,0.40982060972214157
aB8_Utopia,Sediment_Ocean,heterMP,0.5,0.26394103256752427
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.08117621190303326
bB8_Utopia,Sediment_Ocean,heterMP,5.0,0.05710072261292019
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.05021670135561204
cB8_Utopia,Sediment_Ocean,heterMP,50.0,0.039604659271211005
dB8_Utopia,Sediment_Ocean,heterMP,500.0,0.0181484784052127
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.013812189721688593
eB9_Utopia,Sediment_Coast,heterMP,5000.0,0.009780822410697072
eB7_Utopia,Sediment_Freshwater,heterMP,5000.0,0.008627940345010994
