species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aB8_Utopia,Sediment_Ocean,heterMP,0.5,0.6471985068010898
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.20342040962708013
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.1086634469039019
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.009739680551688433
aA12_Utopia,Background_Soil_Surface,freeMP,0.5,0.009390353417315853
aB9_Utopia,Sediment_Coast,heterMP,0.5,0.009341365578910658
aA10_Utopia,Urban_Soil_Surface,freeMP,0.5,0.00594299394203999
aB7_Utopia,Sediment_Freshwater,heterMP,0.5,0.003922331831464165
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.0013591337553827438
aA14_Utopia,Agricultural_Soil_Surface,freeMP,0.5,0.00031301178057719525
