,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,6.624818219329481e-07,1.5163021118257406e-06,9.77639812684625e-13,8.894121758265563
1,Ocean_Mixed_Water,0.0006633675439920476,0.0015182427749439226,9.789468933006971e-13,8.905505039954793
2,Ocean_Column_Water,0.06902939682833692,0.15262222212972792,3.402202893365195e-12,29.898976443492447
3,Coast_Surface_Water,7.495266850115947e-07,1.643865789943325e-06,4.309131540380067e-11,375.6482995532391
4,Coast_Column_Water,0.00037535009046103346,0.0008230926614236083,4.3109959139711034e-11,375.7528069324596
5,Surface_Freshwater,4.566339172290304e-05,9.979150303616118e-05,2.5614326600557302e-09,22249.5257284303
6,Bulk_Freshwater,0.013728823277796185,0.03000162906336321,2.5622869597543575e-09,22256.235415356226
7,Sediment_Freshwater,12.182203000240598,20.73937834458499,0.0022736325799371463,15385180779.029362
8,Sediment_Ocean,84.77279599178333,75.60207930292559,0.0004178136635311105,1481058758.426328
9,Sediment_Coast,2.0506426318821225,1.9084900557500104,0.00039283254777704,1453181300.4401603
10,Urban_Soil_Surface,0.3448968240134252,0.5944316687231239,6.230834716077986e-06,42684617.30505481
11,Urban_Soil,0.0,0.0,0.0,0.0
12,Background_Soil_Surface,0.5449615297578673,0.9392443448863592,6.2308347160779845e-06,42684617.3050548
13,Background_Soil,0.0,0.0,0.0,0.0
14,Agricultural_Soil_Surface,0.018165384325262254,0.031308144829545324,1.5577086790194965e-06,10671154.326263703
15,Agricultural_Soil,0.0,0.0,0.0,0.0
16,Air,0.002490624856575827,6.060333787744161e-15,4.1319042345444364e-14,3.996233824971617e-13
