Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_beaching,k_sediment_resuspension,k_burial,k_runoff_transport,k_percolation,k_soil_air_resuspension,k_soil_convection,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Ocean_Surface_Water,freeMP,mp1,1.6045073624072808e-09,"[0.0, 0.0, 0.0, 0.0, 0.0]",8.232147697893389e-07,0.0,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,7.200000000000001e-07,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp2,1.6045073624072808e-09,"[1.5854895991882293e-09, 0.0, 0.0, 0.0, 0.0]",1.0515292966897905e-05,0.0,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,7.200000000000001e-07,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp3,1.6045073624072808e-09,"[7.927447995941148e-09, 7.927447995941148e-09, 0.0, 0.0, 0.0]",0.04997967038406082,0.0,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,7.200000000000001e-07,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp4,1.6045073624072808e-09,"[9.512937595129376e-08, 3.170979198376459e-08, 3.170979198376459e-08, 0.0, 0.0]",476.01613094436294,0.0,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,7.200000000000001e-07,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp5,1.6045073624072808e-09,"[1.1098427194317607e-06, 2.3782343987823441e-07, 1.5854895991882297e-07, 7.927447995941148e-08, 0.0]",4737240.674776412,0.0,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,7.200000000000001e-07,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp1,1.6045073624072808e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,8.336018963376596e-16,1.1574074074074074e-06,0.0,1.2848837209302325e-08,1.6560166412741398e-08,0.0,0.00276,7.200000000000001e-07,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp2,1.6045073624072808e-10,"[1.586017919653587e-11, 0.0, 0.0, 0.0, 0.0]",0.0,1.0494919960891289e-14,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,7.200000000000001e-07,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp3,1.6045073624072808e-10,"[7.927450638422935e-11, 7.927450638422935e-11, 0.0, 0.0, 0.0]",0.0,4.997947988090136e-11,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,7.200000000000001e-07,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp4,1.6045073624072808e-10,"[9.512937598300358e-10, 3.170979199433453e-10, 3.170979199433453e-10, 0.0, 0.0]",0.0,4.7601612906139717e-07,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,7.200000000000001e-07,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp5,1.6045073624072808e-10,"[1.1098427194321308e-08, 2.3782343987831376e-09, 1.5854895991887585e-09, 7.927447995943792e-10, 0.0]",0.0,0.004737240674757614,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,7.200000000000001e-07,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
