species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.5190796817489602
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.11426221588244449
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.08882168627894348
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.07598304722289638
eD5_Utopia,Surface_Freshwater,heterBiofMP,5000.0,0.04381613743263714
eD0_Utopia,Ocean_Surface_Water,heterBiofMP,5000.0,0.04211663850737047
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.041269872835142156
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,0.0190902893148847
cD7_Utopia,Sediment_Freshwater,heterBiofMP,50.0,0.01276198600209345
eB0_Utopia,Ocean_Surface_Water,heterMP,5000.0,0.007569087674006263
