,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,4.9963756544968545,0.011803438401652903,1.8547218234546731e-09,55.03889764660984
1,Ocean_Mixed_Water,0.7463512076906923,0.23607167187387554,1.3852780180967771e-11,55.03957467050787
2,Ocean_Column_Water,4.912850406543766,6.276315430628282,3.045428874520761e-12,48.871669277894135
3,Coast_Surface_Water,0.08719024722077552,0.00015377255956613002,2.5189977573762737e-09,55.80539745620878
4,Coast_Column_Water,0.014270542368493818,0.0030768406769303433,2.061438370036731e-11,55.83061027597928
5,Surface_Freshwater,4.462523156557124,0.002232369722358562,3.14835755664821e-07,1978.3684628003134
6,Bulk_Freshwater,0.22884855937283402,0.022343498880016046,1.6145509299393496e-09,1980.1233232161667
7,Sediment_Freshwater,12.0690228256465,13.51001423864985,8.514823986661256e-06,119728313.07481354
8,Sediment_Ocean,70.93251717619353,78.93938856735517,4.39703874685636e-06,61467587.69064559
9,Sediment_Coast,0.870425782260467,0.9974794828760745,6.293948548793349e-07,9060098.178124826
10,Urban_Soil_Surface,7.252693720132111e-05,1.204518261279699e-07,8.239771486382343e-11,1.7189637132588937
11,Urban_Soil,0.0006907327135125886,1.147364106620738e-06,7.847401168636225e-11,1.63739922305651
12,Background_Soil_Surface,0.00011495464173211833,1.9095201675615513e-07,8.265434562895253e-11,1.7246497896027648
13,Background_Soil,0.0010948060773684901,1.8189127646253947e-06,7.871842193755442e-11,1.642814551062265
14,Agricultural_Soil_Surface,7.639754957402119e-05,1.3590534743336002e-07,8.239670933529451e-11,1.841214873023432
15,Agricultural_Soil,3.637978436653075e-05,6.472756465376899e-08,7.847305404017945e-11,1.753828778423054
16,Air,0.677538643945209,0.001117210062670135,1.4137245166918866e-13,0.0029282155879682636
