Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_beaching,k_sediment_resuspension,k_burial,k_runoff_transport,k_percolation,k_soil_air_resuspension,k_soil_convection,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Ocean_Surface_Water,freeMP,mp1,1.6045073624072808e-09,"[0.0, 0.0, 0.0, 0.0, 0.0]",8.217077030134274e-07,0.0,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp2,1.6045073624072808e-09,"[1.5854895991882293e-09, 0.0, 0.0, 0.0, 0.0]",5.956415969765581e-06,0.0,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp3,1.6045073624072808e-09,"[1.5696347031963472e-08, 1.5854895991882296e-10, 0.0, 0.0, 0.0]",0.011545699931377497,0.0,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp4,1.6045073624072808e-09,"[1.5839041095890412e-07, 0.0, 1.5854895991882296e-10, 0.0, 0.0]",98.49552681183546,0.0,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-16,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp5,1.6045073624072808e-09,"[1.5853310502283108e-06, 0.0, 0.0, 1.5854895991882296e-10, 0.0]",968820.163933009,0.0,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp1,1.6045073624072808e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,8.320746267378784e-16,1.1574074074074074e-06,0.0,1.2848837209302325e-08,2.0547365388521833e-08,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp2,1.6045073624072808e-10,"[1.586017919653587e-11, 0.0, 0.0, 0.0, 0.0]",0.0,5.934800043699979e-15,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp3,1.6045073624072808e-10,"[1.5696352264077411e-10, 1.585490127684587e-12, 0.0, 0.0, 0.0]",0.0,1.1545496870588217e-11,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp4,1.6045073624072808e-10,"[1.5839041101170099e-09, 0.0, 1.5854895997167267e-12, 0.0, 0.0]",0.0,9.849552480328001e-08,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-16,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp5,1.6045073624072808e-10,"[1.5853310502288396e-08, 0.0, 0.0, 1.5854895991887585e-12, 0.0]",0.0,0.0009688201639129474,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
