species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.8349248293821959
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.06639156576833112
aD13_Utopia,Background_Soil,heterBiofMP,0.5,0.06326894613904117
aB13_Utopia,Background_Soil,heterMP,0.5,0.01222171549956264
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.009953316191165427
aD12_Utopia,Background_Soil_Surface,heterBiofMP,0.5,0.0065401632758773556
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.002582408443005175
aD1_Utopia,Ocean_Mixed_Water,heterBiofMP,0.5,0.002199438721485688
aB12_Utopia,Background_Soil_Surface,heterMP,0.5,0.0013079080760102825
aD16_Utopia,Air,heterBiofMP,0.5,0.00020908117499494148
