,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,299740.4651357205,299740.4651357206,-1.1641532182693481e-10,6.31399894665832e-08,1846.6781271816737
Ocean_Mixed_Water,299739.41582474427,299739.4158247441,1.7462298274040222e-10,1.5161748922160144e-09,1846.8065594339864
Ocean_Column_Water,0.9349898561114539,0.9349898561114536,3.3306690738754696e-16,1.1885253232150096e-10,1852.9900098590183
Coast_Surface_Water,12106.990020293963,12106.916841500422,0.07317879354013712,9.933772878590093e-08,2002.4395124927055
Coast_Column_Water,12104.94808349683,12104.948083496834,-3.637978807091713e-12,2.301362999979875e-09,2002.6160832126586
Surface_Freshwater,3391.57238448588,3391.572384485879,9.094947017729282e-13,5.59338290870545e-08,1804.7447901983994
Bulk_Freshwater,3391.5705151085017,3391.5705151085017,0.0,1.779497981614869e-09,1805.9612286062354
Sediment_Freshwater,0.01803820284441492,0.018038202844414927,-6.938893903907228e-18,5.272428786496836e-06,82174874.62240204
Sediment_Ocean,0.9086465887315697,0.9086465887315696,1.1102230246251565e-16,0.00014946513634053545,2330264222.923402
Sediment_Coast,0.021676923383503705,0.02167692338350371,-3.469446951953614e-18,2.0799393378316634e-05,324276847.8132767
Urban_Soil_Surface,0.0006395349440943275,3.614238680098765e-05,0.0006033925572933399,8.513541968802513e-08,856145.2645280766
Urban_Soil,0.0006033925572933399,6.466101181222674e-05,0.0005387315454811132,7.601210135811402e-08,787891.94011404
Background_Soil_Surface,0.4598068074087399,0.026081484358643325,0.4337253230500966,3.8730085996853495e-05,254065083.2289177
Background_Soil,0.4337253230500966,0.04725658572473169,0.3864687373253649,3.451024562376756e-05,244385408.48188984
Agricultural_Soil_Surface,2.124258107988792e-05,3.4131003068598143e-06,1.7829480773028107e-05,4.776322388297802e-08,665180.8172260307
Agricultural_Soil,1.7829480773028107e-05,1.8961178407400883e-06,1.5933362932288018e-05,4.268373210816531e-08,598367.1723016612
Air,0.0009567227251652191,0.0009567227251652192,-1.0842021724855044e-19,1.4903705078892174e-13,2.3235898447527306
