species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.46710532619376643
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.10195203061128467
dD1_Utopia,Ocean_Mixed_Water,heterBiofMP,500.0,0.07975696465681881
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.06942548765057162
eD13_Utopia,Background_Soil,heterBiofMP,5000.0,0.06267500942861756
eD0_Utopia,Ocean_Surface_Water,heterBiofMP,5000.0,0.0457486942961296
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.037135573164471025
aD13_Utopia,Background_Soil,heterBiofMP,0.5,0.0351310436618149
eD1_Utopia,Ocean_Mixed_Water,heterBiofMP,5000.0,0.02014105181728834
dD13_Utopia,Background_Soil,heterBiofMP,500.0,0.010937191155081146
