,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,331757.32560329797,331757.32560329814,-1.7462298274040222e-10,6.988432949005988e-08,1322.810437450937
Ocean_Mixed_Water,331756.9816997606,331756.98169976054,5.820766091346741e-11,6.957442005434787e-09,1322.9300207163863
Ocean_Column_Water,0.9736396596144228,0.9736396596144227,1.1102230246251565e-16,9.581630706239666e-11,1327.5705223692435
Coast_Surface_Water,12925.319079674511,12925.24095460596,0.07812506855043466,1.0605212925697269e-07,1424.9005650688534
Coast_Column_Water,12923.923572611917,12923.923572611919,-1.8189894035458565e-12,7.717130129598199e-09,1425.0507312361485
Surface_Freshwater,3390.5919249704166,3390.5919249704157,9.094947017729282e-13,5.591762560046163e-08,1274.2968666492127
Bulk_Freshwater,3390.590627457896,3390.590627457897,-9.094947017729282e-13,1.7627657741047708e-09,1275.157103388177
Sediment_Freshwater,0.020192509816564418,0.020192509816564418,0.0,5.902198400279628e-06,58123601.88083275
Sediment_Ocean,0.8899297112903215,0.889929711290322,-4.440892098500626e-16,0.00014638635900477418,1670037917.564922
Sediment_Coast,0.020846240037028476,0.020846240037028473,3.469446951953614e-18,2.0002605091228888e-05,231412306.53461233
Urban_Soil_Surface,0.0006969278357458894,3.936167172922882e-05,0.0006575661640166607,9.27790219974281e-08,611158.110422505
Urban_Soil,0.0006575661640166608,7.027080954283072e-05,0.00058729535447383,8.286419161058633e-08,562613.9944817823
Background_Soil_Surface,0.4923886435681097,0.027903271033226276,0.4644853725348834,4.147684598180289e-05,180389695.4409485
Background_Soil,0.46448537253488326,0.050395024642843705,0.4140903478920396,3.697675448494223e-05,173533676.66664925
Agricultural_Soil_Surface,2.316195882299827e-05,3.7105899247012602e-06,1.9451368898297008e-05,5.210808432095282e-08,489326.49701052235
Agricultural_Soil,1.9451368898297008e-05,2.06364752307981e-06,1.73877213752172e-05,4.6579798897771994e-08,440317.9743595067
Air,0.0010246034137927592,0.0010246034137927588,4.336808689942018e-19,1.0606666268028151e-13,1.6496613773138717
