,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,5.090021956876013,0.011053175053459605,6.988432949005988e-08,1322.810437450937
1,Ocean_Mixed_Water,10.13489943446954,0.2210834854105468,6.957442005434787e-09,1322.9300207163863
2,Ocean_Column_Water,4.179150961435757,6.642870920988267,9.581630706239666e-11,1327.5705223692435
3,Coast_Surface_Water,0.09924829903488544,0.00015298111454294848,1.0605212925697269e-07,1424.9005650688534
4,Coast_Column_Water,0.1444406716130368,0.00305994473564147,7.717130129598199e-09,1425.0507312361485
5,Surface_Freshwater,0.021429335651183122,5.602478295291908e-05,5.591762560046163e-08,1274.2968666492127
6,Bulk_Freshwater,0.006755454839519675,0.0005606260347798662,1.7627657741047708e-09,1275.157103388177
7,Sediment_Freshwater,0.226190202536826,0.2555418807846714,5.902198400279628e-06,58123601.88083275
8,Sediment_Ocean,63.84828550921819,83.56502447599718,0.00014638635900477418,1670037917.564922
9,Sediment_Coast,0.747926068568781,0.9926774191360528,2.0002605091228888e-05,231412306.53461233
10,Urban_Soil_Surface,0.00220799208370037,0.0016685947903688192,9.27790219974281e-08,611158.110422505
11,Urban_Soil,0.019720350048901904,0.015360587778699378,8.286419161058633e-08,562613.9944817823
12,Background_Soil_Surface,1.5596605812060225,0.7781900603829192,4.147684598180289e-05,180389695.4409485
13,Background_Soil,13.904429091932258,7.486136167234482,3.697675448494223e-05,173533676.66664925
14,Agricultural_Soil_Surface,0.001306285843001107,0.0014072829578754362,5.210808432095282e-08,489326.49701052235
15,Agricultural_Soil,0.000583849249717395,0.0006331682272961423,4.6579798897771994e-08,440317.9743595067
16,Air,0.013743955392752147,0.02452320459038898,1.0606666268028151e-13,1.6496613773138717
