,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,334924.2918461433,334924.2918461434,-5.820766091346741e-11,7.05514492200436e-08,1622.6880067005504
Ocean_Mixed_Water,334923.9626581597,334923.9626581598,-5.820766091346741e-11,7.142178547941073e-09,1622.8061777011987
Ocean_Column_Water,0.9761208659157244,0.9761208659157242,2.220446049250313e-16,1.5809240904977366e-10,2162.7421028627596
Coast_Surface_Water,13010.87294421513,13010.79430203489,0.07864218024042202,1.0675409082758448e-07,1654.008757006686
Coast_Column_Water,13009.490558228283,13009.490558228288,-5.4569682106375694e-12,7.901566629016382e-09,1654.2517519306246
Surface_Freshwater,3520.4836195146318,3520.483619514632,-4.547473508864641e-13,5.80598552432114e-08,1188.0348855714178
Bulk_Freshwater,3520.4813327165016,3520.4813327165016,0.0,3.388261817507867e-09,1188.9021731207774
Sediment_Freshwater,0.01743686847168184,0.017436868471681837,3.469446951953614e-18,5.090088174827577e-06,58313329.48695607
Sediment_Ocean,0.8848236435312508,0.8848236435312511,-3.3306690738754696e-16,0.00014554483593707328,1658079205.9116526
Sediment_Coast,0.021844968166255477,0.021844968166255474,3.469446951953614e-18,2.08907176888384e-05,242801501.771909
Urban_Soil_Surface,0.0007020367998045193,3.964726856929909e-05,0.0006623895312352203,9.34595729712478e-08,612436.1022598855
Urban_Soil,0.0006623895312352203,7.076239739010255e-05,0.0005916271338451178,8.347538220336527e-08,563797.3201631833
Background_Soil_Surface,0.4957972124165418,0.028093794057881233,0.4677034183586606,4.176420571127461e-05,180746394.42075387
Background_Soil,0.4677034183586606,0.050722841315661064,0.4169805770429995,3.723484138376588e-05,173872882.2175076
Agricultural_Soil_Surface,2.3333342351239373e-05,3.7367165307852052e-06,1.9596625820454168e-05,5.249721168713167e-08,490745.4078614514
Agricultural_Soil,1.9596625820454168e-05,2.078454487717085e-06,1.7518171332737085e-05,4.692926002935878e-08,441601.3269538882
Air,0.0010317053788477697,0.0010317053788477695,2.168404344971009e-19,1.0628057492722072e-13,1.6529869703027167
