,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,3.643874477218539,3.643874477218539,0.0,7.665870387358981e-13,6.712559280939705
Ocean_Mixed_Water,3.648089110773736,3.648089110773736,0.0,7.674504280067904e-13,6.719617663186316
Ocean_Column_Water,0.0048129841268856645,0.004812984126885667,-2.6020852139652106e-18,9.39233705963115e-13,8.310620138860164
Coast_Surface_Water,4.499357115088859,4.499335993099789,2.1121989069783353e-05,2.8672383355109143e-11,234.7045449911717
Coast_Column_Water,4.58459082530638,4.58459082530638,0.0,2.8717482921283263e-11,234.97804587233938
Surface_Freshwater,0.0030315591865874318,0.0030315591865874313,4.336808689942018e-19,4.987300903283575e-14,0.4322295205862501
Bulk_Freshwater,0.0030335255877907094,0.0030335255877907094,0.0,4.990442676353763e-14,0.4324877877115427
Sediment_Freshwater,7.511246054992769e-06,7.511246054992769e-06,0.0,2.1793811803639908e-09,17925.726372940473
Sediment_Ocean,0.004723967169586931,0.004723967169586929,2.6020852139652106e-18,7.758068176694257e-07,6332751.692105979
Sediment_Coast,1.081027537032511,1.081027537032511,0.0,0.0009714122359440917,757946657.2946848
Urban_Soil_Surface,1.3542358466304205e-07,7.927272867685299e-09,1.2749631179535675e-07,1.79890386153638e-11,145.66409301524888
Urban_Soil,1.2749631179535675e-07,1.587809238509975e-08,1.11618219410257e-07,1.5748725832729445e-11,127.67652772722836
Background_Soil_Surface,0.00011734500645659723,6.92828713339251e-06,0.00011041671932320471,9.859809440695742e-09,81109.92758203871
Background_Soil,0.00011041671932320471,1.4231316109635992e-05,9.618540321356872e-05,8.58900493036987e-09,70720.26286968775
Agricultural_Soil_Surface,4.350545734910684e-09,8.224959982723733e-10,3.528049736638311e-09,9.451258372944636e-12,76.97045172083051
Agricultural_Soil,3.528049736638311e-09,4.313097161091881e-10,3.0967400205291225e-09,8.295826939148146e-12,67.63839207549141
Air,2.436408548451211e-07,2.436408548451211e-07,0.0,7.437160624178428e-17,0.0007177788427967036
