Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_beaching,k_sediment_resuspension,k_burial,k_runoff_transport,k_percolation,k_soil_air_resuspension,k_soil_convection,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Ocean_Surface_Water,freeMP,mp1,1.6045073624072808e-09,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.246434085830704e-08,0.0,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp2,1.6045073624072808e-09,"[1.5854895991882293e-09, 0.0, 0.0, 0.0, 0.0]",5.823449160244314e-08,0.0,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp3,1.6045073624072808e-09,"[7.927447995941148e-09, 7.927447995941148e-09, 0.0, 0.0, 0.0]",5.634143451319746e-06,0.0,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp4,1.6045073624072808e-09,"[9.512937595129376e-08, 3.170979198376459e-08, 3.170979198376459e-08, 0.0, 0.0]",0.028492365595947557,0.0,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-16,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp5,1.6045073624072808e-09,"[1.1098427194317607e-06, 2.3782343987823441e-07, 1.5854895991882297e-07, 7.927447995941148e-08, 0.0]",270.0062626161988,0.0,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp1,1.6045073624072808e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.8735297538279762e-17,1.1574074074074074e-06,0.0,1.2848837209302325e-08,2.1260011119677724e-06,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp2,1.6045073624072808e-10,"[2.528451797958585e-11, 0.0, 0.0, 0.0, 0.0]",0.0,2.942937365521458e-17,1.1574074074074074e-06,0.0,1.2848837209302325e-08,1.8872047548535098e-06,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp3,1.6045073624072808e-10,"[7.935514617141138e-11, 7.935514617141138e-11, 0.0, 0.0, 0.0]",0.0,5.49838078186937e-15,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp4,1.6045073624072808e-10,"[9.512947284918178e-10, 3.1709824283060594e-10, 3.1709824283060594e-10, 0.0, 0.0]",0.0,2.8491272338909827e-11,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-16,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp5,1.6045073624072808e-10,"[1.1098427205622375e-08, 2.378234401204795e-09, 1.5854896008031967e-09, 7.927448004015983e-10, 0.0]",0.0,2.7000625194815907e-07,1.1574074074074074e-06,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp1,3.2090147248145615e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",6.065592538730718e-08,0.0,0.0,0.0,1.2848837209302325e-08,2.4287345653454624e-06,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp2,3.2090147248145615e-10,"[1.943122678398596e-09, 0.0, 0.0, 0.0, 0.0]",4.666863831708318e-07,0.0,0.0,0.0,1.2848837209302325e-08,5.6236220379125645e-06,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp3,3.2090147248145615e-10,"[4.538912937372815e-09, 4.538912937372815e-09, 0.0, 0.0, 0.0]",4.499190628699996e-05,0.0,0.0,0.0,1.2848837209302325e-08,3.759805280300762e-05,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp4,3.2090147248145615e-10,"[4.825491470292958e-08, 1.608497156764319e-08, 1.608497156764319e-08, 0.0, 0.0]",0.02491138849278385,0.0,0.0,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-16,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp5,3.2090147248145615e-10,"[5.557266242310434e-07, 1.1908427662093789e-07, 7.938951774729193e-08, 3.969475887364596e-08, 0.0]",509.5257133588125,0.0,0.0,0.0,1.2848837209302325e-08,0.0,0.0,0.00276,5.555555555555556e-18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp1,8.022536812036404e-11,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.7504869898287757e-16,0.0,0.0,1.2848837209302325e-08,3.6193064984920125e-06,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp2,8.022536812036404e-11,"[2.069169623927708e-11, 0.0, 0.0, 0.0, 0.0]",0.0,6.073207333786567e-16,0.0,0.0,1.2848837209302325e-08,6.463181628917087e-06,0.0,0.00276,5.555555555555556e-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
