,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,4.781840995264145,0.013132926165874652,6.722608087651935e-08,1578.082440628396
1,Ocean_Mixed_Water,11.41083464792127,0.2626868930257658,8.021028863877668e-09,1578.2528890795093
2,Ocean_Column_Water,6.666161226158636,10.48280995259622,1.5649832659334671e-10,2103.4738599327948
3,Coast_Surface_Water,0.09176217106340329,0.00017005941560469984,1.0040203518207147e-07,1590.3951416107284
4,Coast_Column_Water,0.16810094333941142,0.0034018314788168864,9.196424099230017e-09,1590.69588627332
5,Surface_Freshwater,2.2990503033272523e-05,3.4447384277934395e-05,6.142865467979314e-11,786.6912185199595
6,Bulk_Freshwater,0.0002301665648704971,0.0003447214994124527,6.149853446791427e-11,787.2568036944476
7,Sediment_Freshwater,0.330284035664305,0.17094487091747626,8.824906503223694e-06,39039489.24445611
8,Sediment_Ocean,61.45314330089212,80.36802365377149,0.00014427064939190968,1612659560.6963253
9,Sediment_Coast,0.7479106242896095,0.9988943798395187,2.0481422126325223e-05,233805916.9882044
10,Urban_Soil_Surface,0.0020454063608639364,0.0015480127702992685,8.80064284032258e-08,569291.7041446681
11,Urban_Soil,0.018270708843626863,0.014252357249973062,7.861224353696019e-08,524139.65198408486
12,Background_Soil_Surface,1.4435305816142663,0.7211417024818048,3.930828831187501e-05,167843403.22948146
13,Background_Soil,12.871374851504576,6.937987510420757,3.5049601309268094e-05,161479419.55167112
14,Agricultural_Soil_Surface,0.0012106307290807672,0.001305543677857233,4.94494079419217e-08,455791.61460674356
15,Agricultural_Soil,0.0005411583098846602,0.0005874585971101989,4.420829140355012e-08,410187.2760487613
16,Air,0.0127355609769747,0.022733678707714155,1.0063933598926218e-13,1.535482683797539
