Compartments,Ocean_Surface_Water,Ocean_Mixed_Water,Ocean_Column_Water,Coast_Surface_Water,Coast_Column_Water,Surface_Freshwater,Bulk_Freshwater,Sediment_Freshwater,Sediment_Coast,Sediment_Ocean,Urban_Soil_Surface,Urban_Soil,Background_Soil_Surface,Background_Soil,Agricultural_Soil_Surface,Agricultural_Soil,Air
Ocean_Surface_Water,,"rising,mixing",,advective_transport,,,,,,,,,,,,,"dry_depossition,wet_depossition"
Ocean_Mixed_Water,"settling,mixing",,"rising,mixing",,advective_transport,,,,,,,,,,,,
Ocean_Column_Water,,"settling,mixing",,,,,,,,sediment_resuspension,,,,,,,
Coast_Surface_Water,advective_transport,,,,"rising,mixing",advective_transport,,,,,runoff_transport,,runoff_transport,,runoff_transport,,"dry_depossition,wet_depossition"
Coast_Column_Water,,advective_transport,,"settling,mixing",,,advective_transport,,sediment_resuspension,,,,,,,,
Surface_Freshwater,,,,,,,"rising,mixing",,,,runoff_transport,,runoff_transport,,runoff_transport,,"dry_depossition,wet_depossition"
Bulk_Freshwater,,,,,,"settling,mixing",,sediment_resuspension,,,,,,,,,
Sediment_Freshwater,,,,,,,settling,,,,,,,,,,
Sediment_Coast,,,,,settling,,,,,,,,,,,,
Sediment_Ocean,,,settling,,,,,,,,,,,,,,
Urban_Soil_Surface,,,,,,,,,,,,,,,,,"dry_depossition,wet_depossition"
Urban_Soil,,,,,,,,,,,"percolation,tillage",,,,,,
Background_Soil_Surface,,,,,,,,,,,,,,,,,"dry_depossition,wet_depossition"
Background_Soil,,,,,,,,,,,,,"percolation,tillage",,,,
Agricultural_Soil_Surface,,,,,,,,,,,,,,,,,"dry_depossition,wet_depossition"
Agricultural_Soil,,,,,,,,,,,,,,,tillage,,
Air,sea_spray_aerosol,,,sea_spray_aerosol,,,,,,,soil_air_resuspension,,soil_air_resuspension,,soil_air_resuspension,,
