Cname,SPM_mgL,waterFlow_m3_s,T_K,flowVelocity_m_s,G,Cvolume_m3,Cdepth_m,CsurfaceArea_m2
Ocean_Surface_Water,1,22100000,278,nan,1,3.44E+15,10,3.44E+14
Ocean_Mixed_Water,1,22100000,278,nan,1,3.44E+16,100,3.44E+14
Ocean_Column_Water,1,22100000,278,nan,1,1.03E+18,3000,3.44E+14
Coast_Surface_Water,7,6840000000,278,2.5,10,8.83E+13,10,8.83E+12
Coast_Column_Water,7,6840000000,278,2.5,1,8.83E+13,10,8.83E+12
Surface_Freshwater,30,10000,278,1.3,10,9.05E+13,10,9.05E+12
Bulk_Freshwater,30,10000,278,1.3,10,2.72E+14,30,9.05E+12
Sediment_Freshwater,nan,nan,nan,nan,nan,2.72E+11,0.03,9.05E+12
Sediment_Ocean,nan,nan,nan,nan,nan,1.03E+13,0.03,3.44E+14
Sediment_Coast,nan,nan,nan,nan,nan,2.65E+11,0.03,8.83E+12
Urban_Soil_Surface,nan,nan,nan,nan,nan,2.81E+12,0.05,5.62E+13
Urban_Soil,nan,nan,nan,nan,nan,2.81E+12,0.05,5.62E+13
Background_Soil_Surface,nan,nan,nan,nan,nan,4.44E+12,0.05,8.88E+13
Background_Soil,nan,nan,nan,nan,nan,4.44E+12,0.05,8.88E+13
Agricultural_Soil_Surface,nan,nan,nan,nan,nan,5.92E+11,0.2,2.96E+12
Agricultural_Soil,nan,nan,nan,nan,nan,5.92E+11,0.2,2.96E+12
Air,nan,nan,nan,nan,nan,5.10E+17,1000,5.10E+14
