MP_comp,k_degradation,k_fragmentation,k_heteroagg,k_breakup,k_settling,k_rising,k_advection,k_mixing,k_biofilm,k_resusp,k_burial,k_sedTransport,k_defouling
mp5_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp4_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp3_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp2_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp1_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp1_SPM_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp2_SPM_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp3_SPM_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp4_SPM_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp5_SPM_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp1_BF_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp2_BF_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp3_BF_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp4_BF_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp5_BF_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp1_BF_SPM_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp2_BF_SPM_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp3_BF_SPM_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp4_BF_SPM_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp5_BF_SPM_SurfaceWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp1_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp2_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp3_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp4_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp5_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp1_SPM_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp2_SPM_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp3_SPM_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp4_SPM_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp5_SPM_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp1_BF_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp2_BF_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp3_BF_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp4_BF_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp5_BF_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp1_BF_SPM_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp2_BF_SPM_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp3_BF_SPM_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp4_BF_SPM_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
mp5_BF_SPM_FlowingWater,0,0,0,0,0,0,0,0,0,0,0,0,0
