River Section,Compartment,MP form,Size Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_sediment_resuspension,k_burial,k_runoff_transport,k_tillage,k_percolation,k_soil_air_resuspension,k_wind_trasport,k_dry_depossition,k_wet_depossition
Utopia,Ocean Surface Water,freeMP,mp1,1.6045073624072808e-09,1.5854895991882294e-07,0.000556,0.0,1.1574074074074074e-06,0.0,5.8157894736842105e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean Surface Water,freeMP,mp2,1.6045073624072808e-09,1.5854895991882296e-08,0.000556,0.0,1.1574074074074074e-06,0.0,5.8157894736842105e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean Surface Water,freeMP,mp3,1.6045073624072808e-09,1.5854895991882293e-09,2.6722827703101953e-05,0.0,1.1574074074074074e-06,0.0,5.8157894736842105e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean Surface Water,freeMP,mp4,1.6045073624072808e-09,1.5854895991882296e-10,9.636938764168232e-07,0.0,1.1574074074074074e-06,0.0,5.8157894736842105e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean Surface Water,freeMP,mp5,1.6045073624072808e-09,1.5854895991882296e-11,1.4465560019163503e-06,0.0,1.1574074074074074e-06,0.0,5.8157894736842105e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean Surface Water,heterMP,mp1,1.6045073624072808e-10,1.5854895992542924e-07,0.0,0.000556,1.1574074074074074e-06,0.0,5.8157894736842105e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean Surface Water,heterMP,mp2,1.6045073624072808e-10,1.5854896652502942e-08,0.0,0.000556,1.1574074074074074e-06,0.0,5.8157894736842105e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean Surface Water,heterMP,mp3,1.6045073624072808e-10,1.5855556585024687e-09,0.0,2.667882468976667e-06,1.1574074074074074e-06,0.0,5.8157894736842105e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean Surface Water,heterMP,mp4,1.6045073624072808e-10,1.648975633444243e-10,0.0,9.708752320699167e-08,1.1574074074074074e-06,0.0,5.8157894736842105e-09,5.755925863473383e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utopia,Ocean Surface Water,heterMP,mp5,1.6045073624072808e-10,7.948531733518184e-11,0.0,8.13243449461785e-08,1.1574074074074074e-06,0.0,5.8157894736842105e-09,1.3943138231729608e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
